%n density lambda_avg lse TP FP
30 0.0618 5 1.050021 0.09959164 0.07421906
30 0.2194 5 1.091530 0.09909183 0.0801339
30 0.3138 5 1.109629 0.1049956 0.08798166
50 0.0618 5.2 1.079029 0.1890747 0.142627
50 0.2194 9 1.067654 0.05412594 0.03960777
50 0.3138 9.8 1.083072 0.02675333 0.01753434
500 0.0618 0.1 1.225279 0.9958097 0.9919448
500 0.2194 0.1 1.191379 0.9959046 0.9915594
500 0.3138 0.1 1.160014 0.9957334 0.9919851
1000 0.0618 0.1 1.096629 0.998134 0.994485
1000 0.2194 0.1 1.064849 0.998469 0.9946019
1000 0.3138 0.1 1.035636 0.998367 0.9946027
