n density b b_old lambda_avg glcalls lse TP FP
30 0.0618 1 0 93.81836 6.08 1.020113 0 0
30 0.0618 10 0 98.40634 6.2 1.015737 0 0
30 0.0618 100 0 155.5169 5.64 1.016583 0 0
30 0.0618 200 0 236.3478 5 1.014990 0 0
30 0.0618 1000 0 1008.451 5.24 1.014971 0 0
30 0.0618 10000 0 9893.655 1 1.052886 0.1039744 0.07416722
30 0.2194 1 0 93.85236 6.12 1.058258 0 0
30 0.2194 10 0 98.44863 6.32 1.060472 0 0
30 0.2194 100 0 155.5319 6.04 1.061252 0 0
30 0.2194 200 0 236.3596 5 1.061027 0 0
30 0.2194 1000 0 1008.452 5.24 1.059198 0 0
30 0.2194 10000 0 9889.928 1 1.101231 0.09949007 0.0822541
30 0.3138 1 0 93.87795 6.4 1.085767 0 0
30 0.3138 10 0 98.4669 6 1.079247 0 0
30 0.3138 100 0 155.5525 6.08 1.082481 0 0
30 0.3138 200 0 236.3659 5 1.083203 0 0
30 0.3138 1000 0 1008.452 5.52 1.083829 0 0
30 0.3138 10000 0 9889.614 1 1.109212 0.1026321 0.08514882
50 0.0618 1 0 90.21223 6 1.020971 0 0
50 0.0618 10 0 94.73293 6 1.020313 0 0
50 0.0618 100 0 151.7641 6 1.019584 0 0
50 0.0618 200 0 233.2135 6.36 1.013842 0 0
50 0.0618 1000 0 1007.505 5 1.015246 0 0
50 0.0618 10000 0 9846.492 1 1.081093 0.2040299 0.1483955
50 0.2194 1 0 90.30365 6 1.059147 0 0
50 0.2194 10 0 94.80809 6 1.062984 0 0
50 0.2194 100 0 151.8387 6 1.057399 0 0
50 0.2194 200 0 233.2431 6 1.068629 0 0
50 0.2194 1000 0 1007.508 5 1.056764 0 0
50 0.2194 10000 0 9840.407 1 1.109240 0.1995322 0.1586892
50 0.3138 1 0 90.35519 6 1.08061 0 0
50 0.3138 10 0 94.85346 6 1.081222 0 0
50 0.3138 100 0 151.8579 6 1.077038 0 0
50 0.3138 200 0 233.2624 6.52 1.082973 0 0
50 0.3138 1000 0 1007.509 5 1.082910 0 0
50 0.3138 10000 0 9836.509 1 1.131027 0.2022358 0.1667807
100 0.0618 1 0 83.47731 6.96 1.020174 0 0
100 0.0618 10 0 87.80134 7.32 1.018110 0 0
100 0.0618 100 0 143.8300 6.4 1.020111 0 0
100 0.0618 200 0 226.1608 6 1.024616 0 0
100 0.0618 1000 0 1005.213 5 1.020103 0 0
100 0.0618 10000 0 9775.597 1 1.092296 0.3951661 0.287529
100 0.2194 1 0 83.76027 6.6 1.065453 0 0
100 0.2194 10 0 88.08517 6.88 1.060650 0 0
100 0.2194 100 0 144.0496 6.28 1.070704 0 0
100 0.2194 200 0 226.2793 6 1.063628 0 0
100 0.2194 1000 0 1005.223 5 1.061412 0 0
100 0.2194 10000 0 9764.478 1 1.111796 0.3847313 0.2979978
100 0.3138 1 0 83.86084 6.6 1.088896 0 0
100 0.3138 10 0 88.17475 6.72 1.082186 0 0
100 0.3138 100 0 144.1365 6.4 1.081719 0 0
100 0.3138 200 0 226.3249 6 1.081062 0 0
100 0.3138 1000 0 1005.228 5 1.082127 0 0
100 0.3138 10000 0 9758.057 1 1.126464 0.3762949 0.3027077
500 0.0618 1 0 68.8381 6 1.017874 0.0003125 0
500 0.0618 10 0 72.06516 6 1.019605 0.00015625 0
500 0.0618 100 0 117.7441 6.36 1.016481 0 0
500 0.0618 200 0 195.5938 7.2 1.017019 0 0
500 0.0618 1000 0 990.0136 5 1.019816 0 0
500 0.0618 10000 0 9694.902 1 1.072001 0.8200383 0.6329497
500 0.2194 1 0 69.66602 6 1.061865 3.842459e-05 0
500 0.2194 10 0 72.92298 6 1.065443 7.633588e-05 0
500 0.2194 100 0 118.8774 7.32 1.05732 0 0
500 0.2194 200 0 196.6934 7.68 1.061683 0 0
500 0.2194 1000 0 990.1945 5 1.06504 0 0
500 0.2194 10000 0 9656.66 1 1.060201 0.8019491 0.6358362
500 0.3138 1 0 70.05788 6 1.085601 0.0002632106 0
500 0.3138 10 0 73.37934 6 1.088598 0 0
500 0.3138 100 0 119.4011 7.36 1.082661 0 0
500 0.3138 200 0 197.2102 7.12 1.078243 0 0
500 0.3138 1000 0 990.2739 5 1.080411 0 0
500 0.3138 10000 0 9631.453 1 1.037305 0.79245 0.6401477
