%n density  glcalls_avg lse  TP FP
30 0.0618 4 1.018419 0.002485470 0.001159266
30 0.2194 4 1.066934 0.003749535 0.001761978
30 0.3138 4 1.080125 0.003318087 0.002074957
50 0.0618 4.92 1.02171 0.02049433 0.00906976
50 0.2194 5 1.061184 0.02289199 0.01173886
50 0.3138 5 1.085467 0.02536142 0.01463037
500 0.0618 5 1.006989 0.4237809 0.08854798
500 0.2194 5 1.030160 0.4320834 0.1374645
500 0.3138 5 1.031052 0.4355375 0.1731417
1000 0.0618 5 1.004872 0.5998263 0.1048717
1000 0.2194 5 1.004541 0.6163109 0.1889663
1000 0.3138 5 0.997937 0.6255474 0.2501284
2000 0.0618 5 1.001104 0.739884 0.1537478
2000 0.2194 5 0.9844245 0.7626552 0.2758504
2000 0.3138 5 0.970134 0.7709544 0.3597975
