%n density lambda_avg lse TP FP
30 0.0618 0.1 1.510227 0.6287225 0.6066742
30 0.2194 0.1 1.537929 0.6191124 0.6034565
30 0.3138 0.1 1.541404 0.6189902 0.6055202
50 0.0618 0.1 1.948000 0.8003853 0.7977325
50 0.2194 0.1 1.952264 0.8084253 0.800179
50 0.3138 0.1 1.964876 0.8046729 0.7982623
500 0.0618 0.1 1.23496 0.9950254 0.9919191
500 0.2194 0.1 1.187985 0.995178 0.9920205
500 0.3138 0.1 1.162348 0.9957994 0.9917113
1000 0.0618 0.1 1.096765 0.9976684 0.9942037
1000 0.2194 0.1 1.069689 0.998315 0.9939767
1000 0.3138 0.1 1.040871 0.9979994 0.9948705
30 0.0618 0.2 1.476522 0.6102321 0.5860631
30 0.2194 0.2 1.508069 0.5971448 0.5875908
30 0.3138 0.2 1.524812 0.598424 0.5884876
50 0.0618 0.2 1.838403 0.7938773 0.7699106
50 0.2194 0.2 1.860850 0.778239 0.7696389
50 0.3138 0.2 1.837767 0.7802876 0.7683496
500 0.0618 0.2 1.230773 0.990989 0.9840684
500 0.2194 0.2 1.191782 0.9924217 0.9829757
500 0.3138 0.2 1.157297 0.9918347 0.9829907
1000 0.0618 0.2 1.092963 0.9970512 0.989686
1000 0.2194 0.2 1.060560 0.995674 0.9889734
1000 0.3138 0.2 1.033085 0.9957343 0.9895894
30 0.0618 0.5 1.428021 0.5468676 0.5310659
30 0.2194 0.5 1.446703 0.5489808 0.5308271
30 0.3138 0.5 1.460943 0.5443452 0.5311656
50 0.0618 0.5 1.611399 0.7083035 0.6913561
50 0.2194 0.5 1.629052 0.7070198 0.6897503
50 0.3138 0.5 1.623674 0.7082327 0.6886607
500 0.0618 0.5 1.211831 0.9804154 0.960406
500 0.2194 0.5 1.164452 0.9786414 0.9587651
500 0.3138 0.5 1.139040 0.9774938 0.9588245
1000 0.0618 0.5 1.090621 0.9911355 0.9734561
1000 0.2194 0.5 1.060691 0.9890151 0.9727936
1000 0.3138 0.5 1.030787 0.9892829 0.9725228
30 0.0618 1 1.333698 0.4782867 0.4473043
30 0.2194 1 1.358657 0.457974 0.4483329
30 0.3138 1 1.377678 0.4614851 0.4491861
50 0.0618 1 1.418785 0.6168777 0.5847336
50 0.2194 1 1.436749 0.6166018 0.5906945
50 0.3138 1 1.448296 0.6100129 0.5872684
500 0.0618 1 1.170623 0.9613105 0.9220816
500 0.2194 1 1.142575 0.9573191 0.9189657
500 0.3138 1 1.112769 0.9548064 0.9196732
1000 0.0618 1 1.085912 0.9813529 0.9464435
1000 0.2194 1 1.048478 0.978871 0.9465099
1000 0.3138 1 1.026351 0.9793786 0.9468519
30 0.0618 5 1.048362 0.0988206 0.07194295
30 0.2194 5 1.098776 0.1056354 0.08176214
30 0.3138 5 1.117595 0.1020124 0.08596582
50 0.0618 5 1.076689 0.210261 0.1474066
50 0.2194 5 1.116513 0.2051276 0.1612801
50 0.3138 5 1.127489 0.2008722 0.1639077
500 0.0618 5 1.073939 0.8253253 0.6375994
500 0.2194 5 1.062187 0.8061967 0.6343558
500 0.3138 5 1.043960 0.7917815 0.6397774
1000 0.0618 5 1.045225 0.9053462 0.7397177
1000 0.2194 5 1.021986 0.9024321 0.746868
1000 0.3138 5 1.001890 0.8894152 0.7472243
30 0.0618 10 1.016353 0.003106242 0.001005791
30 0.2194 10 1.057230 0.002717974 0.001106214
30 0.3138 10 1.084169 0.003160055 0.001702203
50 0.0618 10 1.021265 0.01756723 0.00704947
50 0.2194 10 1.060707 0.01772047 0.0094443
50 0.3138 10 1.082775 0.02067400 0.01137822
500 0.0618 10 1.031922 0.6550213 0.3632737
500 0.2194 10 1.029651 0.6393479 0.377998
500 0.3138 10 1.02778 0.6253298 0.3918981
1000 0.0618 10 1.028113 0.8320205 0.5196438
1000 0.2194 10 1.004871 0.809037 0.5324413
1000 0.3138 10 0.9911963 0.7934967 0.5465621
30 0.0618 20 1.018373 0 0
30 0.2194 20 1.059759 0 0
30 0.3138 20 1.077808 0 0
50 0.0618 20 1.016930 0 0
50 0.2194 20 1.061918 3.816794e-05 0
50 0.3138 20 1.086983 0 0
500 0.0618 20 1.012911 0.3912423 0.08011764
500 0.2194 20 1.031282 0.3700630 0.0988033
500 0.3138 20 1.035370 0.3509437 0.1171606
1000 0.0618 20 1.007410 0.6737963 0.2124284
1000 0.2194 20 1.007028 0.6354132 0.2359295
1000 0.3138 20 0.995322 0.6181422 0.2642339
30 0.0618 30 1.019758 0 0
30 0.2194 30 1.060118 0 0
30 0.3138 30 1.082673 0 0
50 0.0618 30 1.018167 0 0
50 0.2194 30 1.060484 0 0
50 0.3138 30 1.077686 0 0
500 0.0618 30 1.012801 0.1752856 0.008668943
500 0.2194 30 1.044154 0.1612173 0.01563165
500 0.3138 30 1.061721 0.1582804 0.02268554
1000 0.0618 30 1.003508 0.5220998 0.06319773
1000 0.2194 30 1.014083 0.4836745 0.08834917
1000 0.3138 30 1.014240 0.4658122 0.1151556
30 0.0618 50 1.019080 0 0
30 0.2194 50 1.060821 0 0
30 0.3138 50 1.089219 0 0
50 0.0618 50 1.019523 0 0
50 0.2194 50 1.070146 0 0
50 0.3138 50 1.078072 0 0
500 0.0618 50 1.024334 0.01243640 0
500 0.2194 50 1.055349 0.01205730 8.194626e-05
500 0.3138 50 1.077802 0.01121933 0.0001981998
1000 0.0618 50 1.013804 0.2463052 0.002267437
1000 0.2194 50 1.039442 0.2177194 0.005971676
