%n density lambda_avg lse TP FP
30 0.0618 21.25228 1.016855 0 0
30 0.2194 21.99583 1.058907 0 0
30 0.3138 22.58335 1.087257 0 0
50 0.0618 25.90743 1.016065 0 0
50 0.2194 27.41451 1.065780 0 0
50 0.3138 27.57185 1.075590 0 0
500 0.0618 70.71573 1.020753 0.0001556420 0
500 0.2194 73.45531 1.056494 7.633588e-05 0
500 0.3138 74.79773 1.076151 5.266623e-05 0
1000 0.0618 98.86759 1.014860 0.002796174 0
1000 0.2194 102.0489 1.062976 0.001377339 0
1000 0.3138 103.4589 1.082353 0.001552741 0
