%n density b b_old lambda_avg glcalls lse TP FP
30 0.0618 1 42.83725 8502.519 9 1.020798 0 0
30 0.0618 10 42.74654 852.6356 8 1.016590 0 0
30 0.0618 100 42.77828 87.2256 6 1.020747 0 0
30 0.0618 200 42.73948 44.38309 6.8 1.015843 0 0
30 0.0618 1000 42.7406 9.410426 4.28 1.017075 0.003103834 0.001773002
30 0.0618 2000 42.74806 4.734241 5.44 1.062330 0.1134506 0.0882534
30 0.0618 10000 42.70995 0.9172505 10.8 1.343299 0.4952649 0.4590636
30 0.2194 1 42.74827 8502.632 9 1.065081 0 0
30 0.2194 10 42.72697 852.7463 8 1.066662 0 0
30 0.2194 100 42.76449 87.2979 6 1.068505 0 0
30 0.2194 200 42.80261 44.45667 7.2 1.058674 0 0
30 0.2194 1000 42.82684 9.42278 4.68 1.061195 0.005051338 0.002448325
30 0.2194 2000 42.78787 4.728458 5.56 1.102928 0.1165074 0.09399936
30 0.2194 10000 42.77005 0.916858 10.56 1.375878 0.4767456 0.4616597
30 0.3138 1 42.76236 8502.691 9 1.082631 0 0
30 0.3138 10 42.79097 852.794 8 1.089677 0 0
30 0.3138 100 42.78194 87.3436 6 1.085311 0 0
30 0.3138 200 42.74558 44.4838 6.68 1.079372 0 0
30 0.3138 1000 42.77159 9.429485 5.28 1.084810 0.005135357 0.003368963
30 0.3138 2000 42.79195 4.720765 5.48 1.132159 0.1252247 0.1022428
30 0.3138 10000 42.78698 0.9165755 10.72 1.391819 0.478258 0.4603509
50 0.0618 1 44.43607 7507.955 11 1.018059 0 0
50 0.0618 10 44.42849 758.0179 9 1.020349 0 0
50 0.0618 100 44.38785 80.91836 7 1.013708 0 0
50 0.0618 200 44.43925 42.16755 6.36 1.020363 0 0
50 0.0618 1000 44.44699 9.289 5 1.019389 0.02564621 0.01151594
50 0.0618 2000 44.44406 4.605258 10.24 1.091111 0.2234515 0.1738864
50 0.0618 10000 44.45069 0.9002333 8.4 1.447418 0.6360588 0.6060732
50 0.2194 1 44.46184 7508.301 11 1.064001 0 0
50 0.2194 10 44.48127 758.3251 9 1.06186 0 0
50 0.2194 100 44.49163 81.1068 7.08 1.064529 0 0
50 0.2194 200 44.48804 42.24622 6.4 1.063196 0 0
50 0.2194 1000 44.51988 9.294392 5 1.062548 0.02916693 0.01612270
50 0.2194 2000 44.48968 4.590403 10.44 1.125331 0.2288572 0.1871239
50 0.2194 10000 44.49096 0.8995789 8.4 1.455604 0.6299976 0.6050409
50 0.3138 1 44.50236 7508.462 11 1.072319 0 0
50 0.3138 10 44.44967 758.5192 9 1.086858 0 0
50 0.3138 100 44.45997 81.19748 7.44 1.081215 0 0
50 0.3138 200 44.46852 42.31927 6.4 1.084078 0 0
50 0.3138 1000 44.44196 9.295469 5 1.083047 0.02931074 0.01834877
50 0.3138 2000 44.44015 4.581141 10.28 1.148939 0.2321509 0.1954195
50 0.3138 10000 44.4357 0.8990765 7.96 1.462775 0.6259134 0.6058892
100 0.0618 1 11.19979 5047.844 17 1.022249 0 0
100 0.0618 10 11.30083 542.6411 12 1.020077 0 0
100 0.0618 100 11.30386 70.84125 7 1.022132 0 0
100 0.0618 200 11.57349 39.07292 6.32 1.020236 0 0
100 0.0618 1000 11.11612 9.021641 6 1.026791 0.1491919 0.07430411
100 0.0618 2000 11.05344 4.433717 9.4 1.119428 0.4377802 0.3324039
100 0.0618 10000 10.92672 0.8980985 8.44 1.508191 0.8039373 0.7669224
100 0.2194 1 11.03177 5049.824 17 1.055743 0 0
100 0.2194 10 11.37128 544.0652 12 1.065169 0 0
100 0.2194 100 11.19276 71.25914 7.08 1.065548 0 0
100 0.2194 200 11.56667 39.30219 6.6 1.064967 0 0
100 0.2194 1000 11.13058 8.968513 6 1.065135 0.1543031 0.08813293
100 0.2194 2000 11.29764 4.405962 8.72 1.129339 0.4283874 0.342105
100 0.2194 10000 11.60272 0.8959892 8.76 1.499707 0.8022994 0.7678164
100 0.3138 1 11.71735 5050.949 17 1.082903 0 0
100 0.3138 10 11.24995 544.891 12 1.082431 0 0
100 0.3138 100 11.30136 71.42574 7 1.084874 0 0
100 0.3138 200 11.47842 39.3995 6.24 1.083443 0 0
100 0.3138 1000 11.18317 8.92733 6 1.09057 0.1614010 0.1028196
100 0.3138 2000 11.57733 4.393636 8.28 1.141972 0.4253379 0.3488228
100 0.3138 10000 11.31669 0.8954656 7.6 1.474709 0.7978816 0.7664441
500 0.0618 1 0.0646739 164.3819 10 1.018528 0 0
500 0.0618 10 0.06480866 134.3261 8.96 1.017152 0 0
500 0.0618 100 0.0646555 55.25324 6 1.01886 0.004200591 8.523333e-06
500 0.0618 200 0.06428758 34.73709 6 1.013765 0.1028661 0.002250342
500 0.0618 1000 0.06471759 8.168239 5.52 1.044604 0.7286675 0.4539739
500 0.0618 2000 0.06432847 4.292152 4.96 1.084681 0.8444238 0.6799861
500 0.0618 10000 0.06446459 0.9496861 7.48 1.172602 0.9653439 0.924008
500 0.2194 1 0.07370446 171.3879 10 1.063597 0 0
500 0.2194 10 0.07425386 138.9312 9.08 1.061843 0 0
500 0.2194 100 0.073413 56.11025 6.28 1.059717 0.003597337 1.023280e-05
500 0.2194 200 0.07360041 34.68479 7 1.053770 0.1031923 0.005173072
