%n density  glcalls_avg lse  TP FP
30 0.061 10.15 1.198810 0.328033 0.2936463
30 0.2192 5.11075 1.217620 0.3248693 0.2951444
30 0.3134 3.377036 1.228094 0.3240821 0.2965925
50 0.061 7.46 1.248458 0.4704587 0.4235446
50 0.2192 3.7323 1.260913 0.469745 0.4262369
50 0.3134 2.545774 1.26623 0.4673708 0.4268354
500 0.061 9 1.014360 0 0
500 0.2192 4.545 1.038846 0 0
500 0.3134 3.01515 1.052381 0 0
1000 0.061 7.6 1.017387 3.875969e-05 0
1000 0.2192 4.038 1.039561 2.894011e-05 0
1000 0.3134 2.72346 1.053461 2.587092e-05 0
