%n density  glcalls_avg lse  TP FP
30 0.0618 10 1.191717 0.3252879 0.2932236
30 0.2194 10.72 1.239963 0.3248876 0.2988367
30 0.3138 10.64 1.253053 0.323223 0.2958619
50 0.0618 8.96 1.247840 0.4695705 0.4223628
50 0.2194 8.52 1.263826 0.4611546 0.4253569
50 0.3138 6.68 1.279124 0.4637427 0.4327708
80 0.0618 9.28 1.202710 0.5372447 0.4614246
80 0.2194 10.24 1.233544 0.5235054 0.4644414
80 0.3138 10.64 1.222934 0.5198202 0.4680131
110 0.0618 6.16 1.022568 0.002328602 0.0004518038
110 0.2194 6.16 1.065615 0.0008410827 0.0001946748
110 0.3138 6.24 1.081217 0.001448327 0.0003496948
130 0.0618 8 1.015277 0 0
130 0.2194 8 1.064988 0 0
130 0.3138 7.96 1.082978 0 0
150 0.0618 9.44 1.014333 0 0
150 0.2194 9.12 1.058075 0 0
150 0.3138 9.08 1.083510 0 0
250 0.0618 11.64 1.021635 0 0
250 0.2194 11 1.063581 0 0
250 0.3138 11 1.081931 0 0
500 0.061 9 1.014360 0 0
500 0.2192 4.545 1.038846 0 0
500 0.3134 3.01515 1.052381 0 0
1000 0.061 7.6 1.017387 3.875969e-05 0
1000 0.2192 4.038 1.039561 2.894011e-05 0
1000 0.3134 2.72346 1.053461 2.587092e-05 0
