%n density b lambda_avg lse TP FP
30 0.0618 1e+05 1 1.056300 0.1007179 0.07492224
30 0.0618 20000 10.8 1.523493 0.6220587 0.5952519
30 0.0618 10000 10.76 1.524556 0.6174675 0.5942082
30 0.0618 2000 10.08 1.504582 0.6217799 0.6066914
30 0.0618 1000 8.6 1.498583 0.6208655 0.604292
30 0.0618 200 11.16 1.423160 0.5619842 0.5386566
30 0.0618 100 11.72 1.342027 0.4877648 0.4585781
30 0.2194 1e+05 1 1.097561 0.107263 0.08260258
30 0.2194 20000 10.48 1.556748 0.6056853 0.5959272
30 0.2194 10000 10.76 1.556672 0.6025818 0.590689
30 0.2194 2000 10.48 1.528697 0.6134946 0.6039246
30 0.2194 1000 8.76 1.533782 0.611417 0.6002554
30 0.2194 200 12.04 1.466471 0.5564421 0.5388352
30 0.2194 100 11.56 1.372210 0.4837368 0.4588994
30 0.3138 1e+05 1 1.115358 0.1044304 0.08626763
30 0.3138 20000 10.48 1.560774 0.6028313 0.5909629
30 0.3138 10000 11.08 1.557144 0.6023756 0.5910944
30 0.3138 2000 10.48 1.547397 0.6134377 0.6032529
30 0.3138 1000 9.84 1.547901 0.6069579 0.6008107
30 0.3138 200 11.12 1.47735 0.5513447 0.5379163
30 0.3138 100 11.56 1.384817 0.4820634 0.4584592
50 0.0618 1e+05 1 1.072966 0.2037536 0.1494732
50 0.0618 20000 10.36 2.055203 0.8123455 0.8042535
50 0.0618 10000 11 2.067099 0.8135957 0.8024634
50 0.0618 2000 9.68 2.017305 0.8060561 0.8062907
50 0.0618 1000 6.76 1.944726 0.8083064 0.7953884
50 0.0618 200 11.56 1.622913 0.7154479 0.7032778
50 0.0618 100 8.72 1.442463 0.6375251 0.6058306
50 0.2194 1e+05 1 1.114587 0.2118687 0.1609735
50 0.2194 20000 10.68 2.0866 0.8077152 0.8047168
50 0.2194 10000 10.8 2.079303 0.8050315 0.8018957
50 0.2194 2000 9.84 2.015372 0.8154962 0.803826
50 0.2194 1000 7.04 1.967515 0.7987122 0.7919908
50 0.2194 200 10.96 1.652743 0.7163253 0.6998989
50 0.2194 100 7.96 1.462709 0.6249204 0.6069449
50 0.3138 1e+05 1 1.133661 0.2016720 0.1650727
50 0.3138 20000 10.56 2.085993 0.8082182 0.8032299
50 0.3138 10000 10.56 2.072755 0.8088509 0.8014645
50 0.3138 2000 9.84 2.030642 0.8133722 0.8054188
50 0.3138 1000 7.52 1.971265 0.8009734 0.7939511
50 0.3138 200 10.8 1.641551 0.7156648 0.705274
50 0.3138 100 8.16 1.479736 0.630502 0.6049942
150 0.0618 1e+05 1 1.098063 0.5180782 0.3789238
150 0.0618 20000 5.48 2.939678 0.9992996 0.998909
150 0.0618 10000 6.52 2.839363 0.9982915 0.9978264
150 0.0618 2000 9.16 2.485066 0.9904363 0.9894217
150 0.0618 1000 10.08 2.215792 0.9804963 0.9787879
150 0.0618 200 9.56 1.653673 0.9253986 0.9073777
150 0.0618 100 7.72 1.451650 0.8677206 0.832251
150 0.2194 1e+05 1 1.113216 0.5034231 0.3863911
150 0.2194 20000 5.52 2.833398 0.9992532 0.9988579
150 0.2194 10000 5.52 2.720000 0.9981626 0.9978284
150 0.2194 2000 9.36 2.400062 0.9908725 0.9887688
150 0.2194 1000 10.2 2.166321 0.9793268 0.9791649
150 0.2194 200 8.52 1.613160 0.9193248 0.9050343
150 0.2194 100 7.84 1.427670 0.8597121 0.8305873
150 0.3138 1e+05 1 1.117657 0.4964698 0.3900108
150 0.3138 20000 6.64 2.716178 0.999078 0.9988982
150 0.3138 10000 6 2.641837 0.9977215 0.9976919
150 0.3138 2000 9.16 2.353100 0.9897423 0.9879575
150 0.3138 1000 10.52 2.114702 0.9804061 0.9767949
150 0.3138 200 8.28 1.603801 0.9202907 0.9034508
150 0.3138 100 8.36 1.389600 0.85903 0.8295034
250 0.0618 1e+05 1 1.094947 0.6747304 0.4949237
250 0.0618 20000 1 1.092526 0.6742439 0.4960878
250 0.0618 10000 3 1.644101 0.9992233 0.9987725
250 0.0618 2000 5.68 1.621486 0.9947962 0.9932487
250 0.0618 1000 8.64 1.567174 0.9916007 0.9869879
250 0.0618 200 8.96 1.429689 0.9580392 0.937331
250 0.0618 100 5.8 1.337954 0.9221964 0.8833097
250 0.2194 1e+05 1 1.095887 0.6504721 0.4994316
250 0.2194 20000 1 1.092233 0.6475387 0.5000871
250 0.2194 10000 3 1.579382 0.9991189 0.9986122
250 0.2194 2000 5.6 1.545158 0.9952154 0.9930497
250 0.2194 1000 8.88 1.524767 0.989972 0.9863358
250 0.2194 200 8.68 1.396036 0.9568614 0.9371727
250 0.2194 100 5.44 1.287868 0.9190469 0.8822536
250 0.3138 1e+05 1 1.091008 0.638191 0.5046565
250 0.3138 20000 1 1.092151 0.6336958 0.504338
250 0.3138 10000 3 1.548278 0.9990654 0.9985837
250 0.3138 2000 6.36 1.52067 0.9946405 0.9933612
250 0.3138 1000 8.2 1.477552 0.989399 0.9863955
250 0.3138 200 8.6 1.358422 0.9547518 0.9385632
250 0.3138 100 4.64 1.271626 0.9126915 0.880006
