%n density lambda lse TP FP 
%n density lambda lse TP FP 
30 0.0614 5 1.047513 0.07392996 0.06989133
30 0.0614 5 1.050579 0.08949416 0.07223524
30 0.0614 5 1.028097 0.07782101 0.0728745
30 0.0614 5 1.034417 0.1050584 0.07820158
30 0.0614 5 1.050645 0.1361868 0.07607074
30 0.0612 5 1.054521 0.109375 0.07946314
30 0.0612 5 1.068542 0.09375 0.07477631
30 0.0612 5 1.051244 0.0859375 0.06327226
30 0.0612 5 1.052346 0.109375 0.07626758
30 0.0612 5 1.046421 0.0859375 0.07051555
30 0.0616 5 1.059632 0.1046512 0.06777494
30 0.0616 5 1.032401 0.08139535 0.0586104
30 0.0616 5 1.051946 0.1124031 0.07736573
30 0.0616 5 1.038435 0.07751938 0.06223359
30 0.0616 5 1.058476 0.1201550 0.07693947
30 0.0614 5 1.029832 0.1167315 0.08480716
30 0.0614 5 1.047568 0.1011673 0.079267
30 0.0614 5 1.080832 0.09727626 0.07692308
30 0.0614 5 1.047823 0.08560311 0.08246324
30 0.0614 5 1.065470 0.07003891 0.06925208
30 0.0618 5 1.074874 0.1235521 0.08548284
30 0.0618 5 1.072430 0.1196911 0.0842038
30 0.0618 5 1.027783 0.08108108 0.07269239
30 0.0618 5 1.051331 0.1003861 0.0767427
30 0.0618 5 1.027368 0.1312741 0.06714986
%n density lambda lse TP FP 
30 0.2188 5 1.100474 0.098659 0.07782898
30 0.2188 5 1.087626 0.09099617 0.07782898
30 0.2188 5 1.107229 0.098659 0.07424475
30 0.2188 5 1.097369 0.1015326 0.08883769
30 0.2188 5 1.111780 0.09578544 0.07296467
30 0.2196 5 1.100194 0.1040076 0.0907227
30 0.2196 5 1.086173 0.1068702 0.08969759
30 0.2196 5 1.082247 0.09541985 0.07175807
30 0.2196 5 1.105401 0.09446565 0.0835469
30 0.2196 5 1.081265 0.120229 0.07098924
30 0.219 5 1.078225 0.1071770 0.09167734
30 0.219 5 1.041170 0.08995215 0.07708067
30 0.219 5 1.09548 0.08421053 0.06939821
30 0.219 5 1.098106 0.08803828 0.0878361
30 0.219 5 1.052899 0.1090909 0.07195903
30 0.2182 5 1.080733 0.08933718 0.07521105
30 0.2182 5 1.098460 0.0970221 0.07188539
30 0.2182 5 1.112268 0.09894332 0.08160655
30 0.2182 5 1.069696 0.08741595 0.08186237
30 0.2182 5 1.096853 0.09990394 0.08442057
30 0.2194 5 1.117606 0.1060172 0.08403792
30 0.2194 5 1.099393 0.1107927 0.09172431
30 0.2194 5 1.098256 0.1079274 0.07840123
30 0.2194 5 1.098350 0.09551098 0.08531899
