n density b b_old_avg lambda glcalls_avg lse TP FP 
%n density b b_old lambda lse TP FP 
30 0.0614 1 42.5735 93.79816 6 1.001768 0 0
30 0.0614 1 42.95684 93.80618 6 1.022664 0 0
30 0.0614 1 42.72548 93.78256 6 1.007441 0 0
30 0.0614 1 42.7501 93.77794 6 1.000570 0 0
30 0.0614 1 42.76142 93.8093 6 1.036306 0 0
30 0.0612 1 42.70717 93.85975 6 1.036152 0 0
30 0.0612 1 42.60868 93.81162 6 1.030592 0 0
30 0.0612 1 42.63988 93.8343 6 1.019339 0 0
30 0.0612 1 42.77494 93.85699 6 1.025814 0 0
30 0.0612 1 42.83762 93.80743 6 1.025389 0 0
30 0.0616 1 42.61403 93.79239 8 1.028249 0 0
30 0.0616 1 42.88434 93.80658 6 1.028167 0 0
30 0.0616 1 42.77933 93.81051 6 1.017793 0 0
30 0.0616 1 42.82141 93.81515 6 1.027589 0 0
30 0.0616 1 42.84534 93.85158 6 1.006663 0 0
30 0.0614 1 42.90977 93.8257 6 1.025259 0 0
30 0.0614 1 42.60077 93.78608 6 0.9954147 0 0
30 0.0614 1 42.71536 93.82803 6 1.008978 0 0
30 0.0614 1 42.69088 93.87192 6 1.0071 0 0
30 0.0614 1 42.75874 93.8169 6 1.044229 0 0
30 0.0618 1 42.79762 93.82218 6 1.013483 0 0
30 0.0618 1 42.79891 93.8146 6 1.02626 0 0
30 0.0618 1 42.66753 93.7841 6 1.024265 0 0
30 0.0618 1 42.53113 93.81452 6 1.001059 0 0
30 0.0618 1 42.92188 93.87441 6 1.042275 0 0
%n density b b_old lambda lse TP FP 
30 0.0614 10 43.14964 98.44175 6 1.003907 0 0
30 0.0614 10 42.67219 98.41249 6 0.9972823 0 0
30 0.0614 10 42.79944 98.40311 6 0.9993556 0 0
30 0.0614 10 42.70762 98.40483 6 1.019443 0 0
30 0.0614 10 42.5354 98.41277 6 1.016793 0 0
30 0.0612 10 42.50505 98.41644 6 0.9924112 0 0
30 0.0612 10 42.56832 98.41672 6 1.021925 0 0
30 0.0612 10 42.77002 98.4136 6 0.983497 0 0
30 0.0612 10 42.75952 98.3823 6 1.003092 0 0
30 0.0612 10 42.80863 98.42067 6 1.012115 0 0
30 0.0616 10 42.89368 98.42815 6 1.038631 0 0
30 0.0616 10 42.77223 98.39874 6 1.004966 0 0
30 0.0616 10 42.78163 98.3891 6 1.035377 0 0
30 0.0616 10 42.99354 98.3954 6 1.019986 0 0
30 0.0616 10 42.76691 98.41703 6 1.035521 0 0
30 0.0614 10 42.82017 98.40677 9 1.002016 0 0
30 0.0614 10 42.57199 98.39674 6 1.029575 0 0
30 0.0614 10 42.64141 98.36987 6 1.010636 0 0
30 0.0614 10 42.7075 98.41334 6 1.017971 0 0
30 0.0614 10 42.73236 98.40988 8 1.015410 0 0
30 0.0618 10 42.80382 98.36966 6 1.007424 0 0
30 0.0618 10 42.75505 98.42071 6 1.039970 0 0
30 0.0618 10 42.93995 98.39792 6 1.004837 0 0
30 0.0618 10 42.85058 98.39058 6 1.035723 0 0
30 0.0618 10 42.92081 98.42987 6 1.045569 0 0
%n density b b_old lambda lse TP FP 
30 0.0614 100 42.96290 155.4948 5 1.027319 0 0
30 0.0614 100 42.70710 155.4939 5 1.019369 0 0
30 0.0614 100 42.81459 155.5193 5 1.016465 0 0
30 0.0614 100 42.85954 155.5244 5 1.022995 0 0
30 0.0614 100 42.63437 155.5012 5 1.031250 0 0
30 0.0612 100 42.40792 155.5356 8 0.9910577 0 0
30 0.0612 100 42.90913 155.5224 5 1.020805 0 0
30 0.0612 100 42.48978 155.5254 6 1.006321 0 0
30 0.0612 100 42.49761 155.5108 5 0.9776642 0 0
30 0.0612 100 42.75686 155.4995 6 1.015881 0 0
30 0.0616 100 42.62611 155.5206 6 1.011949 0 0
30 0.0616 100 42.87724 155.5198 5 1.027828 0 0
30 0.0616 100 42.65941 155.5154 5 0.990211 0 0
30 0.0616 100 42.48544 155.5258 5 1.034460 0 0
30 0.0616 100 42.50657 155.4958 6 1.048822 0 0
30 0.0614 100 42.77159 155.5172 5 0.9886067 0 0
30 0.0614 100 42.62401 155.5246 6 1.034752 0 0
30 0.0614 100 42.91527 155.5239 6 1.006905 0 0
30 0.0614 100 42.7946 155.4990 6 1.003536 0 0
30 0.0614 100 42.77009 155.5268 5 1.019094 0 0
30 0.0618 100 42.74482 155.5359 5 1.02931 0 0
30 0.0618 100 42.8149 155.5078 6 1.037393 0 0
30 0.0618 100 42.65563 155.5259 9 1.026009 0 0
30 0.0618 100 42.86732 155.5384 6 1.027774 0 0
30 0.0618 100 42.74711 155.5191 5 0.998808 0 0
%n density b b_old lambda lse TP FP 
30 0.0614 200 42.87886 236.3632 5 0.9963803 0 0
30 0.0614 200 42.37702 236.3433 5 1.034208 0 0
30 0.0614 200 42.52515 236.3479 5 1.004189 0 0
30 0.0614 200 42.93382 236.3588 5 1.015196 0 0
30 0.0614 200 42.73199 236.3413 5 0.987026 0 0
30 0.0612 200 42.76258 236.3434 5 1.038387 0 0
30 0.0612 200 42.72483 236.3492 5 1.003204 0 0
30 0.0612 200 42.40383 236.3412 5 1.017915 0 0
30 0.0612 200 42.93054 236.3466 5 1.004077 0 0
30 0.0612 200 42.53923 236.3435 5 1.026904 0 0
30 0.0616 200 42.91029 236.3504 5 1.001714 0 0
30 0.0616 200 43.06171 236.3555 5 1.01902 0 0
30 0.0616 200 42.60977 236.3438 5 1.027929 0 0
30 0.0616 200 42.65406 236.3471 5 1.040117 0 0
30 0.0616 200 42.64285 236.3469 5 1.040136 0 0
30 0.0614 200 42.80417 236.3472 5 0.986073 0 0
30 0.0614 200 42.92774 236.3556 5 1.011345 0 0
30 0.0614 200 42.8435 236.3446 5 1.015711 0 0
30 0.0614 200 42.69336 236.34 5 1.004508 0 0
30 0.0614 200 42.87429 236.3401 5 1.010522 0 0
30 0.0618 200 42.63236 236.3466 5 1.015302 0 0
30 0.0618 200 42.53449 236.3477 5 0.9901726 0 0
30 0.0618 200 42.90992 236.3488 5 1.043795 0 0
30 0.0618 200 42.86602 236.3483 5 1.012445 0 0
30 0.0618 200 42.52438 236.3534 5 1.028484 0 0
%n density b b_old lambda lse TP FP 
