%n density  glcalls lse TP FP 
30 0.0614 4 1.028063 0 0.001704667
30 0.0614 4 0.990211 0.003891051 0.00063925
30 0.0614 4 1.026680 0 0.0002130833
30 0.0614 4 1.031001 0 0.00063925
30 0.0614 4 1.028898 0.007782101 0.002343916
30 0.0612 4 1.022951 0 0.0006391138
30 0.0612 4 1.008231 0 0.0002130379
30 0.0612 4 1.027348 0.0078125 0.001704303
30 0.0612 4 1.011636 0 0.001917341
30 0.0612 4 1.027884 0 0.001065190
30 0.0616 4 0.987111 0 0.001491901
30 0.0616 4 1.040133 0.01162791 0.001491901
30 0.0616 4 1.023928 0 0.000852515
30 0.0616 4 1.025803 0 0.001918159
30 0.0616 4 1.029145 0.003875969 0.0004262575
30 0.0614 4 0.9979218 0 0.0008523333
30 0.0614 4 0.9940306 0.01167315 0.0012785
30 0.0614 4 1.023771 0 0.0012785
30 0.0614 4 1.015268 0 0.00063925
30 0.0614 4 1.021578 0.003891051 0.002557
30 0.0618 4 1.017331 0 0.0006395225
30 0.0618 4 1.015231 0 0.001492219
30 0.0618 4 1.021807 0 0.001065871
30 0.0618 4 1.008163 0 0.0008526967
30 0.0618 4 1.036342 0.01158301 0.001065871
30 0.2188 4 1.067362 0.005747126 0.001792115
30 0.2188 4 1.055497 0.0009578544 0.002560164
30 0.2188 4 1.055595 0.002873563 0.001024066
30 0.2188 4 1.033151 0.0009578544 0.001024066
30 0.2188 4 1.089861 0.001915709 0.0005120328
30 0.2196 4 1.039674 0.008587786 0.002306509
30 0.2196 4 1.103069 0.006679389 0.001793952
30 0.2196 4 1.055133 0.001908397 0.002562788
30 0.2196 4 1.046481 0.004770992 0.002306509
30 0.2196 4 1.067919 0.007633588 0.001793952
30 0.219 4 1.069314 0.001913876 0.001792574
30 0.219 4 1.060714 0.002870813 0.001024328
30 0.219 4 1.066398 0.002870813 0.0007682458
30 0.219 4 1.061486 0.001913876 0.001536492
30 0.219 4 1.042776 0.003827751 0.002048656
30 0.2182 4 1.048797 0.002881844 0.001534919
30 0.2182 4 1.100371 0 0.0007674597
30 0.2182 4 1.059279 0.005763689 0.001279100
30 0.2182 4 1.088923 0.002881844 0.002046559
30 0.2182 4 1.09686 0.006724304 0.002814019
30 0.2194 4 1.072011 0.005730659 0.001793492
30 0.2194 4 1.091634 0.001910220 0.0005124263
30 0.2194 4 1.047812 0.005730659 0.004355624
30 0.2194 4 1.074205 0.002865330 0.0007686395
30 0.2194 4 1.079026 0.003820439 0.003330771
30 0.3138 4 1.058549 0 0.003497523
30 0.3138 4 1.095585 0.001974984 0.001457301
30 0.3138 4 1.092265 0.003291639 0.002623142
30 0.3138 4 1.052611 0.005266623 0.003788983
30 0.3138 4 1.111535 0.005266623 0.0005829204
30 0.3146 4 1.078470 0.003282994 0.002042603
