%n density lambda lse TP FP 
%n density lambda lse TP FP 
30 0.0614 0.1 1.494976 0.6342412 0.6103772
30 0.0614 0.1 1.532037 0.5564202 0.6065417
30 0.0614 0.1 1.510726 0.6420233 0.6110164
30 0.0614 0.1 1.519203 0.5603113 0.5998295
30 0.0614 0.1 1.494182 0.6381323 0.6109099
30 0.0612 0.1 1.492223 0.6445312 0.6058798
30 0.0612 0.1 1.460068 0.6425781 0.6103536
30 0.0612 0.1 1.52477 0.5839844 0.6125905
30 0.0612 0.1 1.469649 0.6679688 0.6024712
30 0.0612 0.1 1.477866 0.640625 0.6060929
30 0.0616 0.1 1.528948 0.5949612 0.6107204
30 0.0616 0.1 1.509772 0.6046512 0.605925
30 0.0616 0.1 1.522167 0.6453488 0.6086957
30 0.0616 0.1 1.517424 0.6472868 0.6104007
30 0.0616 0.1 1.554705 0.6395349 0.6095482
30 0.0614 0.1 1.514129 0.5953307 0.606222
30 0.0614 0.1 1.490786 0.6303502 0.6050501
30 0.0614 0.1 1.532691 0.6264591 0.5990837
30 0.0614 0.1 1.549964 0.614786 0.6124014
30 0.0614 0.1 1.552709 0.655642 0.6043043
30 0.0618 0.1 1.503485 0.6795367 0.600405
30 0.0618 0.1 1.477414 0.6563707 0.5952889
30 0.0618 0.1 1.480464 0.6196911 0.6060541
30 0.0618 0.1 1.516427 0.6254826 0.6048817
30 0.0618 0.1 1.528902 0.6718147 0.6118098
%n density lambda lse TP FP 
30 0.2188 0.1 1.586592 0.5871648 0.6135433
30 0.2188 0.1 1.607044 0.6005747 0.6035586
30 0.2188 0.1 1.468438 0.6149425 0.6047107
30 0.2188 0.1 1.560638 0.6149425 0.6048387
30 0.2188 0.1 1.485007 0.6096743 0.6201997
30 0.2196 0.1 1.550095 0.586355 0.6071246
30 0.2196 0.1 1.570236 0.6302481 0.6026397
30 0.2196 0.1 1.506683 0.6092557 0.5961046
30 0.2196 0.1 1.538688 0.591126 0.610328
30 0.2196 0.1 1.536720 0.6445611 0.6060994
30 0.219 0.1 1.522099 0.6267943 0.5944942
30 0.219 0.1 1.518362 0.6368421 0.5895006
30 0.219 0.1 1.553460 0.6244019 0.6024328
30 0.219 0.1 1.478853 0.6114833 0.597055
30 0.219 0.1 1.544319 0.6296651 0.609475
30 0.2182 0.1 1.534503 0.6493756 0.6032233
30 0.2182 0.1 1.535916 0.6003842 0.6094909
30 0.2182 0.1 1.533426 0.653218 0.600921
30 0.2182 0.1 1.556707 0.6431316 0.597979
30 0.2182 0.1 1.573867 0.6186359 0.6091072
30 0.2194 0.1 1.533756 0.6232092 0.6095311
30 0.2194 0.1 1.550394 0.625597 0.5908276
30 0.2194 0.1 1.526176 0.5897803 0.5994107
30 0.2194 0.1 1.524909 0.6337154 0.6056879
30 0.2194 0.1 1.551339 0.6227316 0.5981296
%n density lambda lse TP FP 
30 0.3138 0.1 1.536767 0.5974325 0.6092976
30 0.3138 0.1 1.538056 0.6250823 0.613378
30 0.3138 0.1 1.546532 0.618499 0.5980764
30 0.3138 0.1 1.552511 0.6155365 0.610172
30 0.3138 0.1 1.591299 0.6415405 0.6050714
30 0.3146 0.1 1.538178 0.6145765 0.6012547
30 0.3146 0.1 1.535040 0.603086 0.6084039
30 0.3146 0.1 1.540822 0.6300066 0.608258
30 0.3146 0.1 1.531240 0.6273802 0.5984826
30 0.3146 0.1 1.526008 0.6139199 0.606653
30 0.3138 0.1 1.567308 0.6099408 0.6100262
30 0.3138 0.1 1.571558 0.6105991 0.60478
30 0.3138 0.1 1.533233 0.632653 0.6141067
30 0.3138 0.1 1.511606 0.626399 0.5969105
30 0.3138 0.1 1.612521 0.6099408 0.6034684
30 0.3128 0.1 1.553845 0.6060106 0.6145227
30 0.3128 0.1 1.496836 0.6297886 0.5998254
30 0.3128 0.1 1.541808 0.6103038 0.6001164
30 0.3128 0.1 1.495677 0.6202114 0.6065192
30 0.3128 0.1 1.554282 0.6354029 0.5985157
30 0.3138 0.1 1.547755 0.6300197 0.6027397
30 0.3138 0.1 1.522199 0.6188282 0.60478
30 0.3138 0.1 1.543176 0.6152074 0.613961
30 0.3138 0.1 1.519773 0.6132324 0.60478
30 0.3138 0.1 1.527076 0.6191573 0.6039056
%n density lambda lse TP FP 
50 0.0614 0.1 1.979434 0.8132296 0.7916045
50 0.0614 0.1 1.887830 0.7898833 0.8038568
50 0.0614 0.1 1.943934 0.7898833 0.7994886
50 0.0614 0.1 1.869661 0.8287938 0.8020456
50 0.0614 0.1 1.970185 0.8210117 0.7967185
50 0.0612 0.1 1.97866 0.796875 0.7935663
50 0.0612 0.1 1.868032 0.8105469 0.7955901
50 0.0612 0.1 1.998776 0.8046875 0.7987857
