%n density lambda lse TP FP 
%n density lambda lse TP FP 
30 0.0614 23.08777 1.003966 0 0
30 0.0614 22.00205 1.006000 0 0
30 0.0614 19.79442 1.034530 0 0
30 0.0614 22.78452 1.035829 0 0
30 0.0614 25.13912 1.023407 0 0
30 0.0612 19.45372 1.016737 0 0
30 0.0612 19.30080 1.019506 0 0
30 0.0612 21.53166 1.008204 0 0
30 0.0612 18.59267 1.017006 0 0
30 0.0612 21.63402 1.006965 0 0
30 0.0616 22.10826 1.002858 0 0
30 0.0616 20.80953 1.02128 0 0
30 0.0616 21.70164 0.981345 0 0
30 0.0616 21.21799 1.013795 0 0
30 0.0616 22.10562 1.013772 0 0
30 0.0614 20.54735 1.032093 0 0
30 0.0614 19.25105 1.018024 0 0
30 0.0614 19.65351 1.015559 0 0
30 0.0614 22.95964 1.017312 0 0
30 0.0614 18.9365 1.025737 0 0
30 0.0618 23.32511 1.023308 0 0
30 0.0618 20.01514 1.0133 0 0
30 0.0618 23.39284 1.036409 0 0
30 0.0618 21.40725 1.016672 0 0
30 0.0618 20.55492 1.017766 0 0
%n density lambda lse TP FP 
30 0.2188 20.13090 1.049776 0 0
30 0.2188 22.79900 1.047568 0 0
30 0.2188 22.54371 1.049335 0 0
30 0.2188 21.1731 1.051904 0 0
30 0.2188 21.58755 1.036314 0 0
30 0.2196 21.26616 1.063624 0 0
30 0.2196 20.94969 1.068942 0 0
30 0.2196 23.50040 1.064566 0 0
30 0.2196 23.91194 1.076543 0 0
30 0.2196 22.78457 1.063782 0 0
30 0.219 19.99774 1.070065 0 0
30 0.219 21.63628 1.048381 0 0
30 0.219 24.63781 1.045793 0 0
30 0.219 23.21643 1.048144 0 0
30 0.219 21.74974 1.062896 0 0
30 0.2182 23.1771 1.068968 0 0
30 0.2182 22.06951 1.082754 0 0
30 0.2182 21.02517 1.033220 0 0
30 0.2182 21.51850 1.042032 0 0
30 0.2182 23.96983 1.081495 0 0
30 0.2194 23.76483 1.040021 0 0
30 0.2194 21.559 1.056955 0 0
30 0.2194 20.29208 1.069804 0 0
30 0.2194 19.43448 1.073598 0 0
30 0.2194 21.20014 1.076191 0 0
%n density lambda lse TP FP 
30 0.3138 24.01093 1.093585 0 0
30 0.3138 21.33105 1.075082 0 0
30 0.3138 24.66863 1.087816 0 0
30 0.3138 23.25509 1.090941 0 0
30 0.3138 20.688 1.121121 0 0
30 0.3146 22.14502 1.093501 0 0
30 0.3146 24.91986 1.079813 0 0
30 0.3146 22.74504 1.081576 0 0
30 0.3146 23.43551 1.078886 0 0
30 0.3146 20.02085 1.115250 0 0
30 0.3138 21.45009 1.090673 0 0
30 0.3138 21.86259 1.107973 0 0
30 0.3138 21.06885 1.118782 0 0
30 0.3138 24.93276 1.091317 0 0
30 0.3138 23.95687 1.072298 0 0
30 0.3128 22.89481 1.078013 0 0
30 0.3128 23.57922 1.077660 0 0
30 0.3128 21.79199 1.056454 0 0
30 0.3128 22.78648 1.078902 0 0
30 0.3128 19.30953 1.067181 0 0
