%n density b b_old_avg lambda glcalls_avg lse TP FP 
%n density b b_old lambda lse TP FP 
30 0.0614 1 42.9111 8502.533 9 0.9945506 0 0
30 0.0614 1 42.95881 8502.393 9 1.010492 0 0
30 0.0614 1 43.09263 8502.526 9 1.048497 0 0
30 0.0614 1 42.87208 8502.554 9 1.019655 0 0
30 0.0614 1 42.96479 8502.513 9 1.024212 0 0
30 0.0612 1 42.84449 8502.581 9 1.015506 0 0
30 0.0612 1 42.51633 8502.428 9 1.009794 0 0
30 0.0612 1 42.59775 8502.51 9 1.035735 0 0
30 0.0612 1 42.69765 8502.449 9 1.003388 0 0
30 0.0612 1 42.80069 8502.391 9 1.030371 0 0
30 0.0616 1 42.69083 8502.495 9 1.009913 0 0
30 0.0616 1 43.10686 8502.557 9 1.025963 0 0
30 0.0616 1 42.98911 8502.462 9 1.031464 0 0
30 0.0616 1 42.87863 8502.547 9 1.003630 0 0
30 0.0616 1 43.10501 8502.622 9 0.9990056 0 0
30 0.0614 1 42.52206 8502.545 9 1.024462 0 0
30 0.0614 1 42.66678 8502.502 9 1.046863 0 0
30 0.0614 1 42.87905 8502.406 9 1.013564 0 0
30 0.0614 1 43.07316 8502.56 9 1.028129 0 0
30 0.0614 1 42.75865 8502.49 9 1.018827 0 0
30 0.0618 1 43.0743 8502.565 9 1.035171 0 0
30 0.0618 1 42.82229 8502.575 9 1.032372 0 0
30 0.0618 1 42.68327 8502.589 9 0.9961374 0 0
30 0.0618 1 42.76311 8502.592 9 1.033112 0 0
30 0.0618 1 42.66182 8502.59 9 1.029135 0 0
%n density b b_old lambda lse TP FP 
30 0.0614 10 42.57927 852.6892 8 1.024906 0 0
30 0.0614 10 43.00583 852.6052 8 1.022821 0 0
30 0.0614 10 42.93242 852.537 8 0.9811163 0 0
30 0.0614 10 42.5813 852.6243 8 1.022488 0 0
30 0.0614 10 42.74527 852.6745 8 0.9841468 0 0
30 0.0612 10 42.57293 852.719 8 1.010206 0 0
30 0.0612 10 42.53720 852.5539 8 1.033925 0 0
30 0.0612 10 42.80635 852.5966 8 1.028450 0 0
30 0.0612 10 42.78544 852.7162 8 1.016142 0 0
30 0.0612 10 42.60397 852.7314 8 1.045306 0 0
30 0.0616 10 42.67669 852.6247 8 1.024559 0 0
30 0.0616 10 42.75682 852.672 8 1.002419 0 0
30 0.0616 10 42.89989 852.6661 8 1.025400 0 0
30 0.0616 10 42.77486 852.6203 8 1.011959 0 0
30 0.0616 10 42.68924 852.5864 8 1.022364 0 0
30 0.0614 10 42.39532 852.6023 8 1.013633 0 0
30 0.0614 10 42.7133 852.5543 8 1.011455 0 0
30 0.0614 10 42.65879 852.5255 8 1.019258 0 0
30 0.0614 10 42.97372 852.6245 8 1.013307 0 0
30 0.0614 10 43.0157 852.6761 8 1.039966 0 0
30 0.0618 10 42.648 852.6474 8 1.014084 0 0
30 0.0618 10 42.73381 852.6606 8 0.9861647 0 0
30 0.0618 10 42.84661 852.6297 8 1.033916 0 0
30 0.0618 10 42.96213 852.6927 8 1.014457 0 0
30 0.0618 10 42.76873 852.6605 8 1.012307 0 0
%n density b b_old lambda lse TP FP 
30 0.0614 100 42.61354 87.33257 6 1.011323 0 0
30 0.0614 100 42.84289 87.1631 6 1.041022 0 0
30 0.0614 100 42.88081 87.22939 6 1.014714 0 0
30 0.0614 100 42.84891 87.205 6 1.026274 0 0
30 0.0614 100 42.7995 87.16814 6 1.001756 0 0
30 0.0612 100 42.71813 87.1968 6 1.006224 0 0
30 0.0612 100 42.94167 87.20067 6 1.004937 0 0
30 0.0612 100 42.60625 87.21499 6 1.036561 0 0
30 0.0612 100 42.80271 87.1915 6 0.9991744 0 0
30 0.0612 100 42.82023 87.1949 6 0.9991318 0 0
30 0.0616 100 42.88835 87.26387 6 1.018984 0 0
30 0.0616 100 42.94062 87.23301 6 1.017169 0 0
30 0.0616 100 42.82525 87.172 6 1.054410 0 0
30 0.0616 100 42.63489 87.22033 6 1.020905 0 0
30 0.0616 100 42.68519 87.29795 6 0.9968789 0 0
30 0.0614 100 42.92322 87.262 6 1.025051 0 0
30 0.0614 100 42.8637 87.25248 6 1.050627 0 0
30 0.0614 100 42.86546 87.23554 6 1.035338 0 0
30 0.0614 100 43.0411 87.17312 6 1.022642 0 0
30 0.0614 100 42.60177 87.25715 6 1.014824 0 0
30 0.0618 100 42.8787 87.2676 6 1.021005 0 0
30 0.0618 100 42.59988 87.2578 6 1.031749 0 0
30 0.0618 100 42.55312 87.171 6 1.020209 0 0
30 0.0618 100 42.62869 87.26039 6 1.011755 0 0
