%n density  glcalls lse TP FP 
30 0.0614 10 1.178570 0.3151751 0.2917111
30 0.0614 12 1.170765 0.3346304 0.2969316
30 0.0614 12 1.235195 0.3735409 0.2983166
30 0.0614 10 1.208828 0.2684825 0.288941
30 0.0614 10 1.189800 0.2762646 0.2993821
30 0.0614 10 1.178203 0.2957198 0.2929896
30 0.0614 11 1.178098 0.3385214 0.2876625
30 0.0614 8 1.208322 0.3501946 0.3064138
30 0.0614 11 1.202301 0.2840467 0.2867036
30 0.0614 7 1.169722 0.2762646 0.3038568
30 0.0612 11 1.172626 0.3007812 0.2950575
30 0.0612 11 1.220765 0.34375 0.2942054
30 0.0612 14 1.187602 0.4023438 0.2895185
30 0.0612 11 1.19229 0.3359375 0.2873882
30 0.0612 12 1.197726 0.3515625 0.2799318
30 0.0612 8 1.185280 0.3320312 0.2916489
30 0.0612 10 1.145787 0.28125 0.2937793
30 0.0612 12 1.194573 0.3203125 0.2937793
30 0.0612 10 1.182600 0.296875 0.2918620
30 0.0612 10 1.224488 0.328125 0.297614
30 0.0616 12 1.199167 0.2984496 0.3088235
30 0.0616 10 1.223929 0.3294574 0.2984868
30 0.0616 7 1.217188 0.3410853 0.2992327
30 0.0616 11 1.187846 0.3217054 0.2868713
30 0.0616 10 1.191893 0.3488372 0.2849531
30 0.0616 10 1.193520 0.3062016 0.2981671
30 0.0616 12 1.222929 0.3410853 0.2914535
30 0.0616 12 1.193111 0.3333333 0.2863384
30 0.0616 11 1.224333 0.3682171 0.2871910
30 0.0616 11 1.173635 0.3139535 0.2791986
30 0.0614 10 1.215944 0.3424125 0.2878756
30 0.0614 10 1.165741 0.3151751 0.2923503
30 0.0614 7 1.206452 0.3268482 0.2938419
30 0.0614 12 1.186837 0.307393 0.2910718
30 0.0614 12 1.228917 0.2801556 0.3001278
30 0.0614 12 1.216143 0.3229572 0.2958662
30 0.0614 12 1.190675 0.2918288 0.2790326
30 0.0614 11 1.186836 0.3696498 0.3083316
30 0.0614 10 1.213399 0.3151751 0.2750906
30 0.0614 8 1.212463 0.3424125 0.2906456
30 0.0618 12 1.201760 0.3474903 0.3003624
30 0.0618 10 1.261718 0.3320463 0.2931145
30 0.0618 10 1.223527 0.3513514 0.2908761
30 0.0618 10 1.176785 0.2895753 0.2854402
30 0.0618 10 1.191856 0.3204633 0.2930079
30 0.0618 12 1.188733 0.3667954 0.2956726
30 0.0618 10 1.221267 0.3281853 0.3086762
30 0.0618 11 1.233092 0.3204633 0.2960989
30 0.0618 14 1.193116 0.2857143 0.2865061
30 0.0618 8 1.202696 0.3513514 0.2982307
30 0.0614 11 1.168573 0.3385214 0.294055
30 0.0614 12 1.180527 0.3579767 0.2875559
30 0.0614 11 1.190042 0.3346304 0.2848924
30 0.0614 13 1.195473 0.385214 0.2944811
30 0.0614 8 1.182607 0.2996109 0.3010867
30 0.0614 7 1.165853 0.3112840 0.2900064
30 0.0614 7 1.184018 0.3657588 0.2976774
30 0.0614 7 1.220582 0.3618677 0.3044961
30 0.0614 6 1.170681 0.3774319 0.294055
30 0.0614 8 1.175274 0.3307393 0.3053484
30 0.0618 11 1.222924 0.3436293 0.2907696
30 0.0618 7 1.255384 0.2818533 0.2997229
30 0.0618 8 1.201024 0.3667954 0.2974845
30 0.0618 12 1.209640 0.3050193 0.2837348
30 0.0618 12 1.211827 0.3976834 0.2935408
30 0.0618 10 1.196397 0.3397683 0.2935408
30 0.0618 10 1.195468 0.3359073 0.2813899
30 0.0618 11 1.166965 0.3359073 0.2916223
30 0.0618 12 1.228604 0.2895753 0.2868258
30 0.0618 6 1.169790 0.3281853 0.2805372
30 0.0616 11 1.214280 0.3100775 0.2947570
30 0.0616 12 1.169417 0.372093 0.2992327
30 0.0616 7 1.177985 0.3527132 0.3043478
30 0.0616 7 1.176540 0.3255814 0.3045610
30 0.0616 12 1.175176 0.3255814 0.2902813
30 0.0616 7 1.183341 0.2674419 0.2879369
30 0.0616 13 1.194250 0.3178295 0.2909207
30 0.0616 12 1.208361 0.3023256 0.299659
30 0.0616 8 1.194759 0.3682171 0.2971014
30 0.0616 12 1.225991 0.3178295 0.3018968
30 0.0616 10 1.180378 0.3410853 0.3022165
30 0.0616 7 1.166603 0.2945736 0.2949702
30 0.0616 7 1.200019 0.3023256 0.3022165
30 0.0616 14 1.202521 0.3100775 0.2849531
30 0.0616 7 1.217557 0.3837209 0.2826087
30 0.0616 10 1.167312 0.3100775 0.2982737
30 0.0616 11 1.206414 0.3643411 0.299659
30 0.0616 8 1.194363 0.3875969 0.2869778
30 0.0616 7 1.190644 0.3372093 0.2872975
30 0.0616 11 1.212624 0.3449612 0.3020034
30 0.061 11 1.197586 0.3372549 0.2979766
30 0.061 7 1.227777 0.2862745 0.300213
30 0.061 10 1.225887 0.2549020 0.2764643
30 0.061 11 1.220376 0.3176471 0.3011715
