%n density  glcalls lse TP FP 
30 0.0614 11 1.215681 0.2918288 0.2867036
30 0.0614 11 1.207910 0.3307393 0.2941615
30 0.0614 12 1.201344 0.3424125 0.296612
30 0.0614 7 1.175705 0.2879377 0.2908587
30 0.0614 12 1.205506 0.3657588 0.2884083
30 0.0612 11 1.148153 0.3007812 0.280784
30 0.0612 10 1.185261 0.375 0.2967618
30 0.0612 12 1.176650 0.3515625 0.2927141
30 0.0612 8 1.146842 0.3085938 0.2754580
30 0.0612 10 1.196335 0.3632812 0.3010226
30 0.0616 10 1.208587 0.3449612 0.2981671
30 0.0616 7 1.206269 0.3217054 0.2917732
30 0.0616 12 1.181920 0.3333333 0.3090367
30 0.0616 10 1.172328 0.2829457 0.2900682
30 0.0616 11 1.202233 0.3217054 0.2849531
30 0.0614 6 1.201596 0.3735409 0.3019391
30 0.0614 7 1.185347 0.2879377 0.3053484
30 0.0614 14 1.183318 0.3501946 0.2906456
30 0.0614 7 1.204945 0.3229572 0.2993821
30 0.0614 8 1.212409 0.3151751 0.2925634
30 0.0618 12 1.201222 0.2972973 0.2830953
30 0.0618 11 1.189367 0.3088803 0.2988702
30 0.0618 9 1.18692 0.3127413 0.2960989
30 0.0618 12 1.184381 0.3513514 0.2931145
30 0.0618 10 1.212690 0.2895753 0.2920486
30 0.2188 12 1.206936 0.3457854 0.312852
30 0.2188 12 1.227292 0.3285441 0.3079877
30 0.2188 10 1.253048 0.3074713 0.2875064
30 0.2188 10 1.215645 0.3074713 0.2910906
30 0.2188 7 1.281926 0.3065134 0.2954429
30 0.2196 10 1.209081 0.3511450 0.3018965
30 0.2196 10 1.256276 0.3425573 0.3003588
30 0.2196 8 1.213921 0.3282443 0.2921579
30 0.2196 8 1.266072 0.3301527 0.3059969
30 0.2196 11 1.238791 0.3005725 0.3083034
30 0.219 12 1.208022 0.3253589 0.2850192
30 0.219 12 1.268627 0.3004785 0.3026889
30 0.219 8 1.236513 0.2928230 0.293726
30 0.219 11 1.263188 0.3215311 0.3046095
30 0.219 13 1.238826 0.308134 0.2927017
30 0.2182 14 1.217878 0.376561 0.311077
30 0.2182 12 1.225597 0.3784822 0.2945766
30 0.2182 13 1.266901 0.3093180 0.3054490
30 0.2182 7 1.221482 0.3285303 0.298286
30 0.2182 10 1.294719 0.3073967 0.3039140
30 0.2194 13 1.231234 0.3361987 0.2925954
30 0.2194 11 1.245921 0.3094556 0.2887522
30 0.2194 11 1.233818 0.3228271 0.2910582
30 0.2194 13 1.241139 0.3228271 0.2949014
30 0.2194 10 1.236231 0.3338109 0.3079682
30 0.3138 12 1.245354 0.3034891 0.2847566
30 0.3138 7 1.247091 0.3317972 0.2882542
30 0.3138 8 1.271508 0.3298223 0.28942
30 0.3138 7 1.246435 0.3443055 0.2967065
30 0.3138 8 1.215299 0.3350889 0.3045759
30 0.3146 7 1.261531 0.3204202 0.2954479
30 0.3146 10 1.271685 0.3374918 0.2904873
30 0.3146 11 1.225383 0.3276428 0.2896119
30 0.3146 12 1.278498 0.3207485 0.2990954
30 0.3146 12 1.277371 0.3138542 0.301138
30 0.3138 12 1.285350 0.3482554 0.3051588
30 0.3138 10 1.252331 0.2942725 0.2964150
30 0.3138 12 1.267446 0.3291639 0.2943748
30 0.3138 11 1.264747 0.3324556 0.2911688
30 0.3138 13 1.299234 0.3258723 0.318566
30 0.3128 11 1.218942 0.3210040 0.2965658
30 0.3128 10 1.208503 0.3018494 0.2965658
30 0.3128 11 1.211388 0.3295905 0.2875437
30 0.3128 12 1.251814 0.2916116 0.2948196
30 0.3128 12 1.26262 0.3309115 0.2942375
30 0.3138 11 1.260623 0.3153390 0.2984553
30 0.3138 12 1.264686 0.3238973 0.2991839
30 0.3138 12 1.264625 0.3107307 0.2824249
30 0.3138 13 1.238170 0.3387097 0.3004955
30 0.3138 10 1.2357 0.3222515 0.3010784
50 0.0614 13 1.267652 0.4280156 0.4246750
50 0.0614 11 1.244701 0.4980545 0.4238227
50 0.0614 12 1.220286 0.4844358 0.424462
50 0.0614 6 1.264589 0.5136187 0.4172171
50 0.0614 7 1.242762 0.4747082 0.4368208
50 0.0612 7 1.210234 0.46875 0.4192586
50 0.0612 13 1.264432 0.5117188 0.4218151
50 0.0612 6 1.242898 0.484375 0.4236259
50 0.0612 7 1.234869 0.4648438 0.4184065
50 0.0612 15 1.268168 0.46875 0.4275671
50 0.0616 7 1.243452 0.4302326 0.4268968
50 0.0616 7 1.285194 0.4844961 0.4279625
50 0.0616 15 1.261651 0.4418605 0.4146419
50 0.0616 6 1.279081 0.4224806 0.413896
50 0.0616 7 1.238471 0.4573643 0.4158142
50 0.0614 7 1.265080 0.5097276 0.4259535
50 0.0614 7 1.214320 0.4163424 0.4206265
50 0.0614 7 1.230457 0.5058366 0.4221180
50 0.0614 11 1.239969 0.4785992 0.4146601
50 0.0614 7 1.262983 0.459144 0.4255274
50 0.0618 8 1.280010 0.4401544 0.4206992
50 0.0618 7 1.246325 0.4864865 0.4297591
50 0.0618 13 1.263849 0.4594595 0.4127052
50 0.0618 7 1.202990 0.4864865 0.4242166
50 0.0618 11 1.221592 0.4633205 0.425922
50 0.2188 11 1.297758 0.4444444 0.4234511
50 0.2188 13 1.297724 0.4521073 0.4329237
50 0.2188 7 1.294765 0.4425287 0.4338198
50 0.2188 7 1.255282 0.5 0.4229391
50 0.2188 7 1.248070 0.4396552 0.4257552
50 0.2196 6 1.250716 0.4427481 0.4187596
50 0.2196 7 1.299630 0.4599237 0.4260636
50 0.2196 7 1.246479 0.4570611 0.4115838
50 0.2196 7 1.277223 0.4522901 0.4177345
50 0.2196 7 1.255051 0.4503817 0.415428
50 0.219 7 1.259938 0.4545455 0.4266325
50 0.219 12 1.261005 0.4564593 0.4248399
50 0.219 7 1.268836 0.4583732 0.4303457
50 0.219 13 1.272653 0.4660287 0.4180538
50 0.219 11 1.257056 0.4784689 0.4151088
50 0.2182 7 1.250049 0.4601345 0.4222307
50 0.2182 7 1.209337 0.4774256 0.4410335
50 0.2182 8 1.250651 0.4716619 0.4215912
50 0.2182 10 1.258819 0.4668588 0.4169864
50 0.2182 7 1.251984 0.4606148 0.4219749
50 0.2194 7 1.214767 0.4297994 0.4413272
50 0.2194 7 1.293637 0.4851958 0.4166026
50 0.2194 7 1.257884 0.4718243 0.4255701
50 0.2194 13 1.310625 0.4565425 0.4404304
50 0.2194 11 1.255722 0.4937918 0.4427364
50 0.3138 7 1.262327 0.4654378 0.428738
50 0.3138 7 1.293735 0.4730086 0.4403964
50 0.3138 7 1.249802 0.4654378 0.4406878
50 0.3138 6 1.263399 0.4456880 0.4285922
50 0.3138 7 1.308218 0.4628045 0.414165
50 0.3146 7 1.298613 0.4753775 0.4374088
50 0.3146 7 1.31391 0.4707814 0.4292384
50 0.3146 7 1.276385 0.4724228 0.4403268
50 0.3146 7 1.256279 0.4629022 0.4242778
50 0.3146 7 1.257548 0.4537098 0.4404727
50 0.3138 4 1.298198 0.4621461 0.4469542
50 0.3138 6 1.331626 0.4526004 0.4345672
50 0.3138 4 1.265710 0.4871626 0.4383562
50 0.3138 7 1.256136 0.4621461 0.4383562
50 0.3138 7 1.278905 0.4443713 0.4269892
50 0.3128 7 1.230333 0.4663144 0.4222934
50 0.3128 7 1.253876 0.4762219 0.4307334
50 0.3128 6 1.29982 0.4534346 0.4307334
50 0.3128 7 1.299959 0.4471598 0.4409197
50 0.3128 11 1.295169 0.4511229 0.4294237
50 0.3138 4 1.301341 0.4621461 0.4272807
50 0.3138 7 1.260298 0.4693878 0.4402507
50 0.3138 7 1.279883 0.4716919 0.4277179
50 0.3138 7 1.255856 0.4575379 0.4293209
50 0.3138 7 1.290786 0.4825543 0.4310697
150 0.0614 9 1.010238 0 0
150 0.0614 9 1.015340 0 0
150 0.0614 9 1.007314 0 0
150 0.0614 9 1.024445 0 0
150 0.0614 9 1.011393 0 0
150 0.0612 10 1.01488 0 0
150 0.0612 9 1.020989 0 0
150 0.0612 10 1.027109 0 0
150 0.0612 10 1.015089 0 0
150 0.0612 9 1.018811 0 0
150 0.0616 9 1.013404 0 0
150 0.0616 10 1.022028 0 0
150 0.0616 9 1.025306 0 0
150 0.0616 10 1.002444 0 0
150 0.0616 9 1.012595 0 0
150 0.0614 9 1.027872 0 0
150 0.0614 9 0.991254 0 0
150 0.0614 10 0.9953117 0 0
