%n density b lambda lse TP FP 
30 0.0614 1e+05 1 1.066527 0.09338521 0.07266141
30 0.0614 1e+05 1 1.046882 0.09338521 0.08523333
30 0.0614 1e+05 1 1.035443 0.1011673 0.07393991
30 0.0614 1e+05 1 1.070306 0.1439689 0.08779033
30 0.0614 1e+05 1 1.062392 0.07003891 0.07692308
30 0.0612 1e+05 1 1.046850 0.1289062 0.07264593
30 0.0612 1e+05 1 1.060827 0.1484375 0.07605454
30 0.0612 1e+05 1 1.051645 0.08203125 0.07051555
30 0.0612 1e+05 1 1.074536 0.1210938 0.07179378
30 0.0612 1e+05 1 1.052741 0.08984375 0.07392416
30 0.0616 1e+05 1 1.014212 0.09689922 0.07310315
30 0.0616 1e+05 1 1.078744 0.124031 0.08354646
30 0.0616 1e+05 1 1.057574 0.1007752 0.0786445
30 0.0616 1e+05 1 1.059388 0.1279070 0.07075874
30 0.0616 1e+05 1 1.047199 0.08139535 0.06223359
30 0.0614 1e+05 1 1.046477 0.06225681 0.07457916
30 0.0614 1e+05 1 1.080479 0.1439689 0.0874707
30 0.0614 1e+05 1 1.0656 0.1011673 0.06967824
30 0.0614 1e+05 1 1.069301 0.1011673 0.07479224
30 0.0614 1e+05 1 1.069202 0.04280156 0.06243341
30 0.0618 1e+05 1 1.077438 0.06949807 0.07205287
30 0.0618 1e+05 1 1.012163 0.0926641 0.05840972
30 0.0618 1e+05 1 1.054184 0.0965251 0.07716905
30 0.0618 1e+05 1 1.054257 0.08108108 0.07866127
30 0.0618 1e+05 1 1.053139 0.1235521 0.08804093
30 0.0614 20000 9 1.483965 0.57393 0.5931174
30 0.0614 20000 9 1.532621 0.5817121 0.6043043
30 0.0614 20000 12 1.541844 0.6420233 0.5943959
30 0.0614 20000 11 1.585751 0.6050584 0.5955679
30 0.0614 20000 12 1.516790 0.5953307 0.6003622
30 0.0612 20000 10 1.485276 0.6269531 0.58415
30 0.0612 20000 9 1.493971 0.6289062 0.5944823
30 0.0612 20000 12 1.516755 0.6484375 0.5932041
