%n density_avg b b_old_avg  lambda_avg obj_iter_avg lse  TP FP
30 0.08704 1 40.95299 8572.464 9 46.85955 0 0.0001302932
30 0.08704 10 40.95299 867.407 7.8 12.96290 0.0281849 0.02012689
30 0.08704 100 40.95299 88.2671 6.6 2.812199 0.1202145 0.06323972
30 0.08704 200 40.95299 44.64088 6.4 2.202975 0.1707421 0.07446025
30 0.08704 1000 40.95299 9.160775 6.6 1.395192 0.5290776 0.1295930
50 0.08704 1 42.66618 7684.663 11 40.20248 0.001159420 0.0006080347
50 0.08704 10 42.66618 783.5349 10 7.170187 0.05135484 0.03444369
50 0.08704 100 42.66618 82.04327 7 2.090045 0.1548056 0.07597625
50 0.08704 200 42.66618 42.05174 7.8 1.685608 0.2825164 0.08850307
50 0.08704 1000 42.66618 8.784154 7.6 1.051648 0.6717674 0.163627
500 0.08704 1 0.2506397 78.51034 17.6 0.738743 0.8395345 0.1724943
500 0.08704 10 0.2506397 63.30418 18.2 0.7075254 0.849464 0.1752640
500 0.08704 100 0.2506397 28.21307 13 0.6251573 0.9515915 0.2074215
500 0.08704 200 0.2506397 19.12414 10 0.6031566 0.9647289 0.2140553
500 0.08704 1000 0.2506397 6.167266 7.2 0.5859817 0.9948032 0.4320315
1000 0.08704 1 0.1851869 36.84530 10.6 0.5745557 0.9971576 0.2115376
1000 0.08704 10 0.1851869 33.78548 10.8 0.572251 0.9974321 0.2146479
1000 0.08704 100 0.1851869 20.44964 8.4 0.5628207 0.998105 0.2522217
1000 0.08704 200 0.1851869 15.08328 9.4 0.5596775 0.9984768 0.2982226
1000 0.08704 1000 0.1851869 5.675949 7 0.5626468 0.9996988 0.5352425

