%n density b b_old  lambda obj_iter lse TP FP 
30 0.0158 1 41.41028 8503.483 9 1.329310 0 0
30 0.079 1 40.32461 8667.988 9 131.6150 0 0.0006514658
30 0.1714 1 41.75324 8599.884 9 62.29231 0 0
30 0.0262 1 40.81654 8504.844 9 2.116144 0 0
30 0.1428 1 40.46026 8586.123 9 36.94497 0 0
30 0.0158 10 41.41028 853.5222 8 1.329310 0 0
30 0.079 10 40.32461 870.9598 8 16.58171 0.08115942 0.04495114
30 0.1714 10 41.75324 883.7132 7 29.69655 0.03717472 0.02558532
30 0.0262 10 40.81654 854.7222 8 2.116144 0 0
30 0.1428 10 40.46026 874.1176 8 15.09081 0.02259036 0.03009799
30 0.0158 100 41.41028 87.71257 6 1.329310 0 0
30 0.079 100 40.32461 88.42054 7 3.122492 0.2724638 0.0976113
30 0.1714 100 41.75324 88.2308 7 3.590338 0.1741016 0.1274439
30 0.0262 100 40.81654 88.15718 6 1.960639 0.03703704 0.000616143
30 0.1428 100 40.46026 88.81441 7 4.058215 0.1174699 0.0905273
30 0.0158 200 41.41028 44.70399 8 1.327161 0.06896552 0
30 0.079 200 40.32461 44.46994 6 2.270954 0.3217391 0.1184582
30 0.1714 200 41.75324 44.38554 6 2.574325 0.2094176 0.1456674
30 0.0262 200 40.81654 44.9346 6 1.863636 0.08641975 0.000616143
30 0.1428 200 40.46026 44.71034 6 2.978797 0.1671687 0.1075595
30 0.0158 1000 41.41028 9.363209 5 1.061541 0.8275862 0.01930502
30 0.079 1000 40.32461 9.07236 5 1.443006 0.4681159 0.1803474
30 0.1714 1000 41.75324 9.016676 13 1.496433 0.3649318 0.2067343
30 0.0262 1000 40.81654 9.30963 5 1.329561 0.617284 0.04990758
30 0.1428 1000 40.46026 9.042 5 1.645420 0.3674699 0.1916706
50 0.0158 1 43.61873 7510.874 11 1.329310 0 0
50 0.079 1 41.68218 7856.607 11 98.32966 0.005797101 0.003040174
50 0.1714 1 42.96059 7822.398 11 62.29231 0 0
50 0.0262 1 42.4536 7515.386 11 2.116144 0 0
50 0.1428 1 42.61579 7718.048 11 36.94497 0 0
50 0.0158 10 43.61873 760.6 9 1.329310 0 0
50 0.079 10 41.68218 792.6784 9 9.396442 0.1420290 0.0616721
50 0.1714 10 42.96059 802.8458 14 11.92472 0.0755886 0.0615496
50 0.0262 10 42.4536 764.2581 9 2.116144 0 0
50 0.1428 10 42.61579 797.2922 9 11.08432 0.03915663 0.04899673
50 0.0158 100 43.61873 81.95287 7 1.329310 0 0
50 0.079 100 41.68218 81.61474 7 2.080873 0.3304348 0.1169381
50 0.1714 100 42.96059 81.18455 7 2.323783 0.2149938 0.1543567
50 0.0262 100 42.4536 82.922 7 1.902919 0.04938272 0.001026905
50 0.1428 100 42.61579 82.54217 7 2.813339 0.1792169 0.1075595
50 0.0158 200 43.61873 42.64473 6 1.274351 0.3103448 0.0004064215
50 0.079 200 41.68218 41.58092 7 1.616366 0.3811594 0.1322476
50 0.1714 200 42.96059 41.25265 13 1.841095 0.2843866 0.1653391
50 0.0262 200 42.4536 43.05002 6 1.715296 0.1851852 0.001848429
50 0.1428 200 42.61579 41.73036 7 1.980932 0.251506 0.1426738
50 0.0158 1000 43.61873 9.138175 5 1.002937 0.8965517 0.04795773
50 0.079 1000 41.68218 8.640634 12 1.047383 0.6565217 0.2153094
50 0.1714 1000 42.96059 8.563807 9 1.014603 0.4888476 0.2312334
50 0.0262 1000 42.4536 8.9962 6 1.063545 0.8395062 0.09159992
50 0.1428 1000 42.61579 8.581956 6 1.129772 0.4774096 0.2320345
500 0.0158 1 0.08403376 156.6364 13 1.046421 0.8965517 0.002235318
500 0.079 1 0.2393012 45.24962 21 0.6397063 0.889855 0.2256243
500 0.1714 1 0.4338849 24.57335 16 0.4425356 0.8122677 0.3148685
500 0.0262 1 0.1176048 134.7707 18 1.030048 0.8271605 0.01643048
500 0.1428 1 0.378374 31.3217 20 0.5350034 0.7718373 0.3033131
500 0.0158 10 0.08403376 122.8183 11 1.004060 0.8965517 0.002438529
500 0.079 10 0.2393012 39.94041 22 0.6196901 0.910145 0.232139
500 0.1714 10 0.4338849 22.83056 26 0.4336531 0.8228005 0.3201786
500 0.0262 10 0.1176048 102.4191 14 0.9601558 0.8271605 0.01848429
500 0.1428 10 0.378374 28.51244 18 0.5200686 0.7906627 0.3030798
500 0.0158 100 0.08403376 48.22355 7 0.9185196 1 0.008738061
500 0.079 100 0.2393012 21.67801 16 0.5449835 0.9826087 0.2738328
500 0.1714 100 0.4338849 14.35003 20 0.3833047 0.9144981 0.352643
500 0.0262 100 0.1176048 39.91515 9 0.8247802 0.9753086 0.05914972
500 0.1428 100 0.378374 16.89861 13 0.4541986 0.8855422 0.3427438
500 0.0158 200 0.08403376 30.51580 7 0.9045721 1 0.03840683
500 0.079 200 0.2393012 15.76436 8 0.5245761 0.9797101 0.2374593
500 0.1714 200 0.4338849 11.07040 13 0.3614994 0.9169765 0.3048516
500 0.0262 200 0.1176048 25.74285 8 0.7983625 1 0.1170672
500 0.1428 200 0.378374 12.52730 14 0.4267729 0.9269578 0.3724918
500 0.0158 1000 0.08403376 7.917667 5 0.9366501 1 0.4399512
500 0.079 1000 0.2393012 5.89535 7 0.4899143 1 0.3769815
500 0.1714 1000 0.4338849 4.642414 9 0.3209784 0.980793 0.4045378
500 0.0262 1000 0.1176048 7.426357 5 0.8003298 1 0.4473198
500 0.1428 1000 0.378374 4.95454 10 0.3820358 0.9932229 0.4913672
1000 0.0158 1 0.05526678 91.4326 9 0.9169347 1 0.003048161
1000 0.079 1 0.1847167 17.64721 10 0.4839478 1 0.2595005
1000 0.1714 1 0.3255909 8.37233 11 0.3087864 0.992565 0.3787111
1000 0.0262 1 0.08281143 56.07283 11 0.792173 1 0.05606901
1000 0.1428 1 0.2775488 10.70151 12 0.3709364 0.9932229 0.3603593
1000 0.0158 10 0.05526678 81.4896 9 0.9119836 1 0.004064215
1000 0.079 10 0.1847167 17.19690 10 0.482994 1 0.2611292
1000 0.1714 10 0.3255909 8.271788 12 0.3084777 0.9931846 0.3801593
1000 0.0262 10 0.08281143 51.44613 10 0.7873655 1 0.06531115
1000 0.1428 10 0.2775488 10.52297 13 0.3704340 0.993976 0.3625758
1000 0.0158 100 0.05526678 42.02062 7 0.8963186 1 0.03921967
1000 0.079 100 0.1847167 13.61186 8 0.4771532 1 0.2947883
1000 0.1714 100 0.3255909 7.401604 10 0.3061090 0.9950434 0.3951243
1000 0.0262 100 0.08281143 30.34059 8 0.7684923 1 0.1482851
1000 0.1428 100 0.2775488 8.87353 9 0.3660303 0.995482 0.3836911
1000 0.0158 200 0.05526678 27.90405 7 0.8933495 1 0.1175574
1000 0.079 200 0.1847167 11.54308 13 0.4741283 1 0.3205212
1000 0.1714 200 0.3255909 6.481145 11 0.3038399 0.9969021 0.4117789
1000 0.0262 200 0.08281143 21.66657 7 0.7633981 1 0.2359827
1000 0.1428 200 0.2775488 7.821542 9 0.3636717 0.995482 0.405273
1000 0.0158 1000 0.05526678 7.83337 5 0.9089646 1 0.5658403
1000 0.079 1000 0.1847167 5.260659 7 0.4718031 1 0.5059718
1000 0.1714 1000 0.3255909 3.849599 9 0.2983549 1 0.5127927
1000 0.0262 1000 0.08281143 7.188604 5 0.7769592 1 0.5709591
1000 0.1428 1000 0.2775488 4.247515 9 0.357152 0.998494 0.5206486
