%n density  glcalls lse TP FP 
30 0.0158 8 1.181286 1 0.2932331
30 0.079 7 1.236629 0.6507246 0.3064061
30 0.1714 11 1.157610 0.5377943 0.3147478
30 0.0262 14 1.343231 0.9382716 0.2908195
30 0.1428 7 1.346848 0.5323795 0.3069295
50 0.0158 7 1.209327 1 0.4155659
50 0.079 7 0.9151238 0.8333333 0.3651466
50 0.1714 12 0.7489057 0.7156134 0.3655564
50 0.0262 7 1.176759 0.9753086 0.4142534
50 0.1428 7 0.8947898 0.688253 0.3798413
500 0.0158 19 0.977452 0.9310345 0.002032107
500 0.079 24 0.5730352 0.9463768 0.2058632
500 0.1714 18 0.395255 0.9033457 0.3229544
500 0.0262 20 0.9275727 0.8765432 0.01889505
500 0.1428 19 0.4662292 0.8840361 0.2888474
1000 0.0158 11 0.8976297 1 0.008941272
1000 0.079 10 0.4720841 1 0.2122693
1000 0.1714 15 0.3017839 0.9987608 0.3425054
1000 0.0262 14 0.7752908 1 0.06346272
1000 0.1428 19 0.359233 0.996988 0.3923238
