% N density lambda LLtest TP FP
50 0.03 500.000000   0.000000 0.028112 0.005006 
50 0.03 450.000000   0.000000 0.033787 0.006130 
50 0.03 400.000000   0.000000 0.040829 0.007711 
50 0.03 350.000000   0.000000 0.058864 0.010624 
50 0.03 300.000000   0.000000 0.071022 0.013370 
50 0.03 250.000000   0.000000 0.089041 0.015825 
50 0.03 200.000000   0.000000 0.111995 0.019530 
50 0.03 150.000000   0.000000 0.156070 0.023444 
50 0.03 100.000000   0.000000 0.216638 0.029527 
50 0.03 50.000000   0.000000 0.322385 0.043146 
50 0.03 40.000000   0.000000 0.368820 0.049769 
50 0.03 30.000000   0.000000 0.427903 0.059726 
50 0.03 20.000000   0.000000 0.558119 0.077725 
50 0.03 10.000000   0.000000 0.700920 0.123296 
50 0.03 5.000000   0.000000 0.819887 0.201851 
50 0.03 1.000000   0.000000 0.927305 0.448193 
100 0.03 500.000000   0.000000 0.094332 0.013907 
100 0.03 450.000000   0.000000 0.107787 0.016072 
100 0.03 400.000000   0.000000 0.119900 0.018237 
100 0.03 350.000000   0.000000 0.136571 0.020610 
100 0.03 300.000000   0.000000 0.158087 0.022943 
100 0.03 250.000000   0.000000 0.190620 0.025858 
100 0.03 200.000000   0.000000 0.214679 0.028980 
100 0.03 150.000000   0.000000 0.243313 0.033395 
100 0.03 100.000000   0.000000 0.323767 0.041892 
100 0.03 50.000000   0.000000 0.485476 0.059433 
100 0.03 40.000000   0.000000 0.601544 0.067847 
100 0.03 30.000000   0.000000 0.663149 0.079261 
100 0.03 20.000000   0.000000 0.725147 0.100880 
100 0.03 10.000000   0.000000 0.853626 0.163067 
100 0.03 5.000000   0.000000 0.926097 0.252296 
100 0.03 1.000000   0.000000 0.974319 0.478986 
200 0.03 500.000000   0.000000 0.192694 0.022484 
200 0.03 450.000000   0.000000 0.208406 0.024523 
200 0.03 400.000000   0.000000 0.216308 0.027313 
200 0.03 350.000000   0.000000 0.231376 0.029895 
200 0.03 300.000000   0.000000 0.243891 0.032892 
200 0.03 250.000000   0.000000 0.280279 0.036266 
200 0.03 200.000000   0.000000 0.316923 0.041016 
200 0.03 150.000000   0.000000 0.394308 0.047013 
200 0.03 100.000000   0.000000 0.479953 0.057636 
200 0.03 50.000000   0.000000 0.705959 0.078008 
200 0.03 40.000000   0.000000 0.743410 0.087463 
200 0.03 30.000000   0.000000 0.794898 0.102373 
200 0.03 20.000000   0.000000 0.868824 0.128490 
200 0.03 10.000000   0.000000 0.945207 0.196598 
200 0.03 5.000000   0.000000 0.976574 0.288444 
200 0.03 1.000000   0.000000 0.987707 0.466398 
500 0.03 500.000000   0.000000 0.314924 0.033728 
500 0.03 450.000000   0.000000 0.351718 0.037391 
500 0.03 400.000000   0.000000 0.392973 0.041264 
500 0.03 350.000000   0.000000 0.413050 0.044847 
500 0.03 300.000000   0.000000 0.421133 0.047973 
500 0.03 250.000000   0.000000 0.497604 0.052721 
500 0.03 200.000000   0.000000 0.646349 0.060722 
500 0.03 150.000000   0.000000 0.703409 0.068930 
500 0.03 100.000000   0.000000 0.751903 0.080093 
500 0.03 50.000000   0.000000 0.867843 0.103999 
500 0.03 40.000000   0.000000 0.913219 0.115494 
500 0.03 30.000000   0.000000 0.952693 0.133197 
500 0.03 20.000000   0.000000 0.976597 0.164358 
500 0.03 10.000000   0.000000 0.985903 0.231795 
500 0.03 5.000000   0.000000 0.989628 0.309951 
500 0.03 1.000000   0.000000 0.991077 0.416500 
1000 0.03 500.000000   0.000000 0.492446 0.043811 
1000 0.03 450.000000   0.000000 0.606032 0.049933 
1000 0.03 400.000000   0.000000 0.659984 0.055726 
1000 0.03 350.000000   0.000000 0.685608 0.060015 
1000 0.03 300.000000   0.000000 0.707328 0.064808 
1000 0.03 250.000000   0.000000 0.722353 0.069057 
1000 0.03 200.000000   0.000000 0.754811 0.074599 
1000 0.03 150.000000   0.000000 0.815864 0.082512 
1000 0.03 100.000000   0.000000 0.890668 0.095215 
1000 0.03 50.000000   0.000000 0.967174 0.120832 
1000 0.03 40.000000   0.000000 0.975146 0.130454 
1000 0.03 30.000000   0.000000 0.986752 0.148990 
1000 0.03 20.000000   0.000000 0.991100 0.179106 
1000 0.03 10.000000   0.000000 0.996141 0.239178 
1000 0.03 5.000000   0.000000 0.996141 0.293003 
1000 0.03 1.000000   0.000000 0.996141 0.357991 
5000 0.03 500.000000   0.000000 0.906983 0.071104 
