% N density lambda LLtest TP FP
50 0.03 500.000000   0.000000 0.026339 0.002935 
50 0.03 450.000000   0.000000 0.032203 0.003685 
50 0.03 400.000000   0.000000 0.038711 0.004590 
50 0.03 350.000000   0.000000 0.048315 0.005683 
50 0.03 300.000000   0.000000 0.062398 0.007618 
50 0.03 250.000000   0.000000 0.078416 0.009784 
50 0.03 200.000000   0.000000 0.100571 0.012448 
50 0.03 150.000000   0.000000 0.137522 0.016486 
50 0.03 100.000000   0.000000 0.183376 0.021909 
50 0.03 50.000000   0.000000 0.305066 0.034179 
50 0.03 40.000000   0.000000 0.353674 0.040924 
50 0.03 30.000000   0.000000 0.410682 0.050375 
50 0.03 20.000000   0.000000 0.533293 0.067279 
50 0.03 10.000000   0.000000 0.692423 0.113754 
50 0.03 5.000000   0.000000 0.810143 0.198347 
50 0.03 1.000000   0.000000 0.927966 0.451849 
100 0.03 500.000000   0.000000 0.079004 0.009439 
100 0.03 450.000000   0.000000 0.089268 0.011125 
100 0.03 400.000000   0.000000 0.099186 0.012426 
100 0.03 350.000000   0.000000 0.111562 0.013987 
100 0.03 300.000000   0.000000 0.130464 0.015747 
100 0.03 250.000000   0.000000 0.153716 0.017985 
100 0.03 200.000000   0.000000 0.187294 0.021336 
100 0.03 150.000000   0.000000 0.233285 0.025832 
100 0.03 100.000000   0.000000 0.310547 0.033555 
100 0.03 50.000000   0.000000 0.469989 0.050033 
100 0.03 40.000000   0.000000 0.559317 0.058434 
100 0.03 30.000000   0.000000 0.640517 0.070030 
100 0.03 20.000000   0.000000 0.721711 0.092044 
100 0.03 10.000000   0.000000 0.843446 0.151646 
100 0.03 5.000000   0.000000 0.926634 0.246275 
100 0.03 1.000000   0.000000 0.977400 0.480974 
200 0.03 500.000000   0.000000 0.161913 0.017213 
200 0.03 450.000000   0.000000 0.179796 0.019399 
200 0.03 400.000000   0.000000 0.193535 0.021522 
200 0.03 350.000000   0.000000 0.213455 0.023821 
200 0.03 300.000000   0.000000 0.239294 0.026486 
200 0.03 250.000000   0.000000 0.270428 0.029661 
200 0.03 200.000000   0.000000 0.313906 0.034053 
200 0.03 150.000000   0.000000 0.381318 0.039496 
200 0.03 100.000000   0.000000 0.480267 0.049281 
200 0.03 50.000000   0.000000 0.691623 0.069110 
200 0.03 40.000000   0.000000 0.733081 0.078343 
200 0.03 30.000000   0.000000 0.785569 0.093239 
200 0.03 20.000000   0.000000 0.861068 0.119293 
200 0.03 10.000000   0.000000 0.951204 0.187900 
200 0.03 5.000000   0.000000 0.976557 0.282853 
