% N density lambda LLtest TP FP
50 0.03 500.000000   0.000000 0.029602 0.006004 
50 0.03 450.000000   0.000000 0.039095 0.007044 
50 0.03 400.000000   0.000000 0.045637 0.008875 
50 0.03 350.000000   0.000000 0.049455 0.010458 
50 0.03 300.000000   0.000000 0.068601 0.012581 
50 0.03 250.000000   0.000000 0.096119 0.016453 
50 0.03 200.000000   0.000000 0.123600 0.019952 
50 0.03 150.000000   0.000000 0.160634 0.024324 
50 0.03 100.000000   0.000000 0.202617 0.029860 
50 0.03 50.000000   0.000000 0.298423 0.042522 
50 0.03 40.000000   0.000000 0.352613 0.049352 
50 0.03 30.000000   0.000000 0.423684 0.058223 
50 0.03 20.000000   0.000000 0.561881 0.075425 
50 0.03 10.000000   0.000000 0.713612 0.121120 
50 0.03 5.000000   0.000000 0.814966 0.202593 
50 0.03 1.000000   0.000000 0.927005 0.447106 
100 0.03 500.000000   0.000000 0.108970 0.018155 
100 0.03 450.000000   0.000000 0.122923 0.019862 
100 0.03 400.000000   0.000000 0.137048 0.021986 
100 0.03 350.000000   0.000000 0.154870 0.024650 
100 0.03 300.000000   0.000000 0.167139 0.026856 
100 0.03 250.000000   0.000000 0.184278 0.029770 
100 0.03 200.000000   0.000000 0.213616 0.033975 
100 0.03 150.000000   0.000000 0.255549 0.038141 
100 0.03 100.000000   0.000000 0.328207 0.046182 
100 0.03 50.000000   0.000000 0.498622 0.064218 
100 0.03 40.000000   0.000000 0.588727 0.073133 
100 0.03 30.000000   0.000000 0.663227 0.085132 
100 0.03 20.000000   0.000000 0.732795 0.105625 
100 0.03 10.000000   0.000000 0.848904 0.163281 
100 0.03 5.000000   0.000000 0.930776 0.254179 
100 0.03 1.000000   0.000000 0.976612 0.479658 
200 0.03 500.000000   0.000000 0.178748 0.020237 
200 0.03 450.000000   0.000000 0.195067 0.022776 
200 0.03 400.000000   0.000000 0.217790 0.025772 
200 0.03 350.000000   0.000000 0.232817 0.028146 
200 0.03 300.000000   0.000000 0.255969 0.030978 
200 0.03 250.000000   0.000000 0.285837 0.034769 
200 0.03 200.000000   0.000000 0.326867 0.039061 
200 0.03 150.000000   0.000000 0.384244 0.044976 
200 0.03 100.000000   0.000000 0.494182 0.054932 
200 0.03 50.000000   0.000000 0.715486 0.076929 
200 0.03 40.000000   0.000000 0.748874 0.087093 
200 0.03 30.000000   0.000000 0.799296 0.102298 
200 0.03 20.000000   0.000000 0.866672 0.128706 
200 0.03 10.000000   0.000000 0.950505 0.196648 
200 0.03 5.000000   0.000000 0.970743 0.290162 
