% N density lambda LLtest TP FP
50 0.08 500.000000   0.000000 0.123994 0.066142 
50 0.08 450.000000   0.000000 0.127243 0.069066 
50 0.08 400.000000   0.000000 0.137479 0.073956 
50 0.08 350.000000   0.000000 0.147192 0.078453 
50 0.08 300.000000   0.000000 0.155857 0.082383 
50 0.08 250.000000   0.000000 0.166758 0.085920 
50 0.08 200.000000   0.000000 0.177597 0.090067 
50 0.08 150.000000   0.000000 0.195432 0.095831 
50 0.08 100.000000   0.000000 0.215820 0.106400 
50 0.08 50.000000   0.000000 0.258749 0.124307 
50 0.08 40.000000   0.000000 0.272339 0.131556 
50 0.08 30.000000   0.000000 0.287322 0.138896 
50 0.08 20.000000   0.000000 0.312538 0.149336 
50 0.08 10.000000   0.000000 0.360993 0.170998 
50 0.08 5.000000   0.000000 0.397122 0.193364 
50 0.08 1.000000   0.000000 0.435646 0.243422 
50 0.08 0.500000   0.000000 0.444792 0.255390 
50 0.08 0.100000   0.000000 0.452791 0.270941 
100 0.08 500.000000   0.000000 0.162914 0.078063 
100 0.08 450.000000   0.000000 0.169505 0.081509 
100 0.08 400.000000   0.000000 0.178169 0.085221 
100 0.08 350.000000   0.000000 0.188354 0.089763 
100 0.08 300.000000   0.000000 0.197984 0.094479 
100 0.08 250.000000   0.000000 0.209797 0.099896 
100 0.08 200.000000   0.000000 0.221603 0.105050 
100 0.08 150.000000   0.000000 0.239283 0.112171 
100 0.08 100.000000   0.000000 0.266116 0.124311 
100 0.08 50.000000   0.000000 0.313425 0.143403 
100 0.08 40.000000   0.000000 0.329560 0.149041 
100 0.08 30.000000   0.000000 0.343433 0.155811 
100 0.08 20.000000   0.000000 0.366471 0.166424 
100 0.08 10.000000   0.000000 0.407948 0.188222 
100 0.08 5.000000   0.000000 0.432451 0.210711 
100 0.08 1.000000   0.000000 0.466838 0.249493 
100 0.08 0.500000   0.000000 0.469542 0.254821 
100 0.08 0.100000   0.000000 0.473904 0.263034 
200 0.08 500.000000   0.000000 0.202340 0.090386 
200 0.08 450.000000   0.000000 0.213044 0.093659 
200 0.08 400.000000   0.000000 0.221613 0.096324 
200 0.08 350.000000   0.000000 0.228044 0.100647 
200 0.08 300.000000   0.000000 0.238260 0.106152 
200 0.08 250.000000   0.000000 0.250562 0.112400 
200 0.08 200.000000   0.000000 0.268830 0.120481 
200 0.08 150.000000   0.000000 0.288155 0.128826 
200 0.08 100.000000   0.000000 0.316032 0.141191 
200 0.08 50.000000   0.000000 0.365025 0.160628 
200 0.08 40.000000   0.000000 0.382241 0.168578 
200 0.08 30.000000   0.000000 0.397878 0.174299 
200 0.08 20.000000   0.000000 0.422089 0.185043 
200 0.08 10.000000   0.000000 0.451105 0.203607 
200 0.08 5.000000   0.000000 0.462484 0.222082 
200 0.08 1.000000   0.000000 0.477571 0.248945 
200 0.08 0.500000   0.000000 0.480870 0.254229 
200 0.08 0.100000   0.000000 0.483021 0.257070 
500 0.08 500.000000   0.000000 0.266979 0.113282 
500 0.08 450.000000   0.000000 0.278275 0.117081 
500 0.08 400.000000   0.000000 0.282599 0.120138 
500 0.08 350.000000   0.000000 0.292233 0.123547 
500 0.08 300.000000   0.000000 0.299199 0.127786 
500 0.08 250.000000   0.000000 0.314294 0.132809 
500 0.08 200.000000   0.000000 0.334092 0.140756 
500 0.08 150.000000   0.000000 0.358639 0.150282 
500 0.08 100.000000   0.000000 0.383562 0.161372 
500 0.08 50.000000   0.000000 0.427272 0.179586 
500 0.08 40.000000   0.000000 0.441724 0.185308 
500 0.08 30.000000   0.000000 0.451886 0.192645 
500 0.08 20.000000   0.000000 0.465388 0.202036 
500 0.08 10.000000   0.000000 0.477212 0.216405 
500 0.08 5.000000   0.000000 0.486972 0.230904 
500 0.08 1.000000   0.000000 0.491806 0.242348 
500 0.08 0.500000   0.000000 0.492864 0.243834 
500 0.08 0.100000   0.000000 0.492864 0.244837 
1000 0.08 500.000000   0.000000 0.299151 0.134027 
1000 0.08 450.000000   0.000000 0.314289 0.138084 
1000 0.08 400.000000   0.000000 0.326957 0.141493 
1000 0.08 350.000000   0.000000 0.335584 0.146083 
1000 0.08 300.000000   0.000000 0.347571 0.150666 
1000 0.08 250.000000   0.000000 0.361073 0.155604 
1000 0.08 200.000000   0.000000 0.377239 0.161411 
1000 0.08 150.000000   0.000000 0.398873 0.167963 
1000 0.08 100.000000   0.000000 0.426986 0.178880 
1000 0.08 50.000000   0.000000 0.460858 0.195041 
1000 0.08 40.000000   0.000000 0.470938 0.201287 
1000 0.08 30.000000   0.000000 0.480092 0.206967 
1000 0.08 20.000000   0.000000 0.486056 0.215044 
1000 0.08 10.000000   0.000000 0.493524 0.225616 
1000 0.08 5.000000   0.000000 0.495726 0.231857 
1000 0.08 1.000000   0.000000 0.497367 0.240156 
1000 0.08 0.500000   0.000000 0.497367 0.241511 
1000 0.08 0.100000   0.000000 0.499029 0.242209 
