% N density b b_old_avg lambda_avg LLtest TP FP 
50 0.05 44.416563 44.377158 0.022534 0.000000 0.882255 0.875621
% N density b b_old_avg lambda_avg LLtest TP FP 
50 0.05 44.061069 44.321650 0.022563 0.000000 0.879049 0.876464
50 0.21 44.276308 44.290304 0.022578 0.000000 0.884473 0.874205
50 0.31 44.729358 44.405456 0.022520 0.000000 0.878034 0.874600
100 0.05 10.668421 9.693689 0.104112 0.000000 0.955596 0.952144
100 0.21 9.762636 9.762478 0.103749 0.000000 0.954696 0.949742
100 0.31 9.537459 9.765452 0.103896 0.000000 0.954408 0.949281
200 0.05 0.178440 0.180086 5.561299 0.000000 0.488683 0.323596
200 0.21 0.201500 0.187151 5.356518 0.000000 0.485894 0.344877
200 0.31 0.209107 0.190728 5.253786 0.000000 0.482251 0.356905
500 0.05 0.062842 0.063909 15.650738 0.000000 0.418023 0.103282
500 0.21 0.069357 0.069653 14.360804 0.000000 0.421713 0.148104
500 0.31 0.073114 0.073401 13.628580 0.000000 0.418490 0.180488
1000 0.05 0.042946 0.042546 23.506820 0.000000 0.549060 0.072074
1000 0.21 0.048586 0.048757 20.513122 0.000000 0.546289 0.125836
1000 0.31 0.053854 0.052895 18.909601 0.000000 0.540640 0.171983
5000 0.05 0.024231 0.024290 41.171609 0.000000 0.879351 0.061291
5000 0.21 0.032515 0.032311 30.952117 0.000000 0.869695 0.129052
5000 0.31 0.036868 0.036935 27.077184 0.000000 0.856426 0.177545
10000 0.05 0.020661 0.020824 48.022756 0.000000 0.934322 0.050251
10000 0.21 0.029253 0.029219 34.226078 0.000000 0.930156 0.101531
10000 0.31 0.034621 0.034282 29.172034 0.000000 0.917642 0.142704
% N density b b_old_avg lambda_avg LLtest TP FP 
