% N density b b_old_avg lambda_avg LLtest TP FP 
% N density b b_old_avg lambda_avg LLtest TP FP 
% N density b b_old_avg lambda_avg LLtest TP FP 
50 0.05 1.000000 44.312240 98.058262 0.000000 0.000000 0.000000
50 0.05 10.000000 44.423003 99.425954 0.000000 0.000000 0.000000
50 0.05 100.000000 44.574147 103.247453 0.000000 0.000000 0.000000
50 0.21 1.000000 44.291823 100.476179 0.000000 0.000000 0.000000
50 0.21 10.000000 44.366448 104.073843 0.000000 0.000000 0.000000
50 0.21 100.000000 44.293049 105.692222 0.000000 0.000000 0.000000
50 0.31 1.000000 44.002009 105.779637 0.000000 0.000000 0.000000
50 0.31 10.000000 44.505906 107.528780 0.000000 0.000000 0.000000
50 0.31 100.000000 44.358804 103.540293 0.000000 0.000000 0.000000
100 0.05 1.000000 9.496362 100.825849 0.000000 0.000000 0.000000
100 0.05 10.000000 7.731410 100.906887 0.000000 0.000000 0.000000
100 0.05 100.000000 10.228048 100.865877 0.000000 0.000000 0.000000
100 0.21 1.000000 9.746228 107.320357 0.000000 0.000000 0.000000
100 0.21 10.000000 10.263055 107.240190 0.000000 0.000000 0.000000
100 0.21 100.000000 10.882088 103.590931 0.000000 0.000000 0.000000
100 0.31 1.000000 8.088208 107.751695 0.000000 0.000000 0.000000
100 0.31 10.000000 9.341283 108.533501 0.000000 0.000000 0.000000
100 0.31 100.000000 9.552635 107.311287 0.000000 0.000000 0.000000
200 0.05 1.000000 0.179323 103.135463 0.000000 0.000000 0.000000
200 0.05 10.000000 0.186970 100.723481 0.000000 0.000000 0.000000
200 0.05 100.000000 0.185167 99.998935 0.000000 0.000000 0.000000
200 0.21 1.000000 0.180663 105.888979 0.000000 0.000000 0.000000
200 0.21 10.000000 0.186453 104.044464 0.000000 0.000000 0.000000
200 0.21 100.000000 0.195162 107.082384 0.000000 0.000000 0.000000
200 0.31 1.000000 0.192243 109.887904 0.000000 0.000000 0.000000
200 0.31 10.000000 0.184798 110.158642 0.000000 0.000000 0.000000
200 0.31 100.000000 0.182250 110.686817 0.000000 0.000000 0.000000
500 0.05 1.000000 0.062507 101.673679 0.000000 0.000000 0.000000
500 0.05 10.000000 0.064097 102.311718 0.000000 0.000000 0.000000
500 0.05 100.000000 0.064383 102.162460 0.000000 0.000000 0.000000
500 0.21 1.000000 0.069444 107.059149 0.000000 0.000000 0.000000
500 0.21 10.000000 0.070700 108.172935 0.000000 0.000000 0.000000
500 0.21 100.000000 0.069517 107.890147 0.000000 0.000000 0.000000
500 0.31 1.000000 0.068996 109.773926 0.000000 0.000000 0.000000
500 0.31 10.000000 0.075243 110.184511 0.000000 0.000000 0.000000
500 0.31 100.000000 0.073183 110.134749 0.000000 0.000000 0.000000
1000 0.05 1.000000 0.041959 101.659965 0.000000 0.000000 0.000000
1000 0.05 10.000000 0.042203 102.009492 0.000000 0.000000 0.000000
1000 0.05 100.000000 0.042413 101.634036 0.000000 0.000000 0.000000
1000 0.21 1.000000 0.048911 106.322579 0.000000 0.000958 0.000000
1000 0.21 10.000000 0.048846 107.904718 0.000000 0.000000 0.000000
1000 0.21 100.000000 0.048690 106.368864 0.000000 0.000000 0.000000
1000 0.31 1.000000 0.052764 110.312484 0.000000 0.001319 0.000000
1000 0.31 10.000000 0.054631 110.962997 0.000000 0.001319 0.000000
1000 0.31 100.000000 0.052834 110.414754 0.000000 0.000000 0.000000
5000 0.05 1.000000 0.024171 99.915374 0.000000 0.691120 0.002132
5000 0.05 10.000000 0.024173 99.910391 0.000000 0.714286 0.001066
5000 0.05 100.000000 0.024137 99.915418 0.000000 0.698842 0.001919
5000 0.21 1.000000 0.032704 99.775454 0.000000 0.721264 0.025346
5000 0.21 10.000000 0.032587 99.774284 0.000000 0.700192 0.027650
5000 0.21 100.000000 0.032607 99.777104 0.000000 0.718391 0.024066
5000 0.31 1.000000 0.037012 99.723135 0.000000 0.689314 0.067560
5000 0.31 10.000000 0.037238 99.718999 0.000000 0.695251 0.059988
5000 0.31 100.000000 0.036877 99.719812 0.000000 0.694591 0.065812
10000 0.05 1.000000 0.020895 99.862643 0.000000 0.891892 0.008953
10000 0.05 10.000000 0.020883 99.859876 0.000000 0.903475 0.009806
10000 0.05 100.000000 0.020654 99.864078 0.000000 0.888031 0.007674
10000 0.21 1.000000 0.029187 99.666451 0.000000 0.888889 0.059396
10000 0.21 10.000000 0.029521 99.660498 0.000000 0.894636 0.064004
10000 0.21 100.000000 0.029374 99.666321 0.000000 0.886015 0.060420
10000 0.31 1.000000 0.033970 99.609969 0.000000 0.869393 0.118812
10000 0.31 10.000000 0.034105 99.607618 0.000000 0.868074 0.116482
10000 0.31 100.000000 0.033847 99.611227 0.000000 0.862137 0.122889
