% N density lambda LLtest TP FP
50 0.12 500.000000  0.000000 0.123980 0.062255
50 0.12 450.000000  0.000000 0.135400 0.068019
50 0.12 400.000000  0.000000 0.154976 0.073784
50 0.12 350.000000  0.000000 0.164763 0.083698
50 0.12 300.000000  0.000000 0.184339 0.096611
50 0.12 250.000000  0.000000 0.210440 0.108370
50 0.12 200.000000  0.000000 0.236542 0.123357
50 0.12 150.000000  0.000000 0.252855 0.140650
50 0.12 100.000000  0.000000 0.295269 0.166936
50 0.12 50.000000  0.000000 0.378467 0.220198
50 0.12 40.000000  0.000000 0.406199 0.232649
50 0.12 30.000000  0.000000 0.446982 0.249712
50 0.12 20.000000  0.000000 0.502447 0.272769
50 0.12 10.000000  0.000000 0.574225 0.328568
50 0.12 5.000000  0.000000 0.649266 0.384598
50 0.12 1.000000  0.000000 0.761827 0.487895
50 0.13 500.000000  0.000000 0.092025 0.091205
50 0.13 450.000000  0.000000 0.110429 0.101210
50 0.13 400.000000  0.000000 0.127301 0.113541
50 0.13 350.000000  0.000000 0.134969 0.124709
50 0.13 300.000000  0.000000 0.151840 0.137971
50 0.13 250.000000  0.000000 0.159509 0.150070
50 0.13 200.000000  0.000000 0.191718 0.161703
50 0.13 150.000000  0.000000 0.222393 0.177292
50 0.13 100.000000  0.000000 0.269939 0.201024
50 0.13 50.000000  0.000000 0.323620 0.240810
50 0.13 40.000000  0.000000 0.340491 0.249186
50 0.13 30.000000  0.000000 0.363497 0.263378
50 0.13 20.000000  0.000000 0.421779 0.287343
50 0.13 10.000000  0.000000 0.475460 0.331317
50 0.13 5.000000  0.000000 0.530675 0.370870
50 0.13 1.000000  0.000000 0.616564 0.433923
50 0.14 500.000000  0.000000 0.073593 0.064834
50 0.14 450.000000  0.000000 0.085137 0.072117
50 0.14 400.000000  0.000000 0.092352 0.078224
50 0.14 350.000000  0.000000 0.109668 0.085271
50 0.14 300.000000  0.000000 0.128427 0.091379
50 0.14 250.000000  0.000000 0.148629 0.101480
50 0.14 200.000000  0.000000 0.165945 0.115339
50 0.14 150.000000  0.000000 0.194805 0.129199
50 0.14 100.000000  0.000000 0.236652 0.148931
50 0.14 50.000000  0.000000 0.313131 0.192154
50 0.14 40.000000  0.000000 0.330447 0.204369
50 0.14 30.000000  0.000000 0.356421 0.223162
50 0.14 20.000000  0.000000 0.399711 0.255344
50 0.14 10.000000  0.000000 0.492063 0.321588
50 0.14 5.000000  0.000000 0.581530 0.377731
50 0.14 1.000000  0.000000 0.691198 0.509514
50 0.13 500.000000  0.000000 0.077901 0.069660
50 0.13 450.000000  0.000000 0.095390 0.074520
50 0.13 400.000000  0.000000 0.100159 0.081231
50 0.13 350.000000  0.000000 0.111288 0.088174
50 0.13 300.000000  0.000000 0.127186 0.093728
50 0.13 250.000000  0.000000 0.151033 0.099051
50 0.13 200.000000  0.000000 0.170111 0.107383
50 0.13 150.000000  0.000000 0.190779 0.117797
50 0.13 100.000000  0.000000 0.230525 0.133765
50 0.13 50.000000  0.000000 0.321145 0.170100
50 0.13 40.000000  0.000000 0.343402 0.183291
50 0.13 30.000000  0.000000 0.381558 0.200879
50 0.13 20.000000  0.000000 0.456280 0.234668
50 0.13 10.000000  0.000000 0.572337 0.301319
50 0.13 5.000000  0.000000 0.669316 0.368433
50 0.13 1.000000  0.000000 0.771065 0.498496
50 0.14 500.000000  0.000000 0.115097 0.071946
