% N density b b_old lambda LLtest TP FP
50 0.05 44.415889 44.415889 0.022514 0.000000 0.864865 0.876146
50 0.05 44.134477 44.134477 0.022658 0.000000 0.879845 0.880222
50 0.05 44.498462 44.498462 0.022473 0.000000 0.859922 0.881526
50 0.05 44.501795 44.501795 0.022471 0.000000 0.882812 0.871964
50 0.05 44.324606 44.324606 0.022561 0.000000 0.872093 0.873402
50 0.05 44.542934 44.542934 0.022450 0.000000 0.906977 0.871483
50 0.05 44.327971 44.327971 0.022559 0.000000 0.893701 0.871806
50 0.05 44.268504 44.268504 0.022589 0.000000 0.855469 0.878355
50 0.05 44.529283 44.529283 0.022457 0.000000 0.890625 0.880699
50 0.05 44.402431 44.402431 0.022521 0.000000 0.880309 0.884033
50 0.05 44.366313 44.366313 0.022540 0.000000 0.899614 0.869751
50 0.05 44.346329 44.346329 0.022550 0.000000 0.848837 0.877025
50 0.05 44.484887 44.484887 0.022480 0.000000 0.875486 0.873642
50 0.05 44.391564 44.391564 0.022527 0.000000 0.859375 0.868769
50 0.05 44.729595 44.729595 0.022357 0.000000 0.883721 0.876598
50 0.05 44.374411 44.374411 0.022536 0.000000 0.879845 0.875959
50 0.05 44.667021 44.667021 0.022388 0.000000 0.893701 0.881175
50 0.05 44.354128 44.354128 0.022546 0.000000 0.890625 0.865999
50 0.05 44.370788 44.370788 0.022537 0.000000 0.886719 0.872390
50 0.05 44.572560 44.572560 0.022435 0.000000 0.899614 0.870603
50 0.05 44.347696 44.347696 0.022549 0.000000 0.891892 0.877638
50 0.05 44.359012 44.359012 0.022543 0.000000 0.879845 0.870631
50 0.05 44.374771 44.374771 0.022535 0.000000 0.879377 0.883017
50 0.05 44.267528 44.267528 0.022590 0.000000 0.886719 0.876225
50 0.05 44.390986 44.390986 0.022527 0.000000 0.860465 0.874041
50 0.05 44.373262 44.373262 0.022536 0.000000 0.879845 0.878943
50 0.05 44.337521 44.337521 0.022554 0.000000 0.877953 0.877555
50 0.05 44.278585 44.278585 0.022584 0.000000 0.890625 0.873669
50 0.05 44.255646 44.255646 0.022596 0.000000 0.886719 0.877077
50 0.05 44.199066 44.199066 0.022625 0.000000 0.911197 0.874440
50 0.05 44.380530 44.380530 0.022532 0.000000 0.857143 0.876785
50 0.05 44.146953 44.146953 0.022652 0.000000 0.860465 0.877025
50 0.05 44.258468 44.258468 0.022595 0.000000 0.875486 0.876412
50 0.05 44.460943 44.460943 0.022492 0.000000 0.890625 0.874734
50 0.05 44.200556 44.200556 0.022624 0.000000 0.887597 0.877877
50 0.05 44.232037 44.232037 0.022608 0.000000 0.875969 0.871697
50 0.05 44.574915 44.574915 0.022434 0.000000 0.877953 0.874148
50 0.05 44.078972 44.078972 0.022687 0.000000 0.859375 0.867916
50 0.05 44.365890 44.365890 0.022540 0.000000 0.867188 0.879207
50 0.05 44.669565 44.669565 0.022387 0.000000 0.849421 0.879770
50 0.05 44.441464 44.441464 0.022502 0.000000 0.872587 0.882541
50 0.05 44.393887 44.393887 0.022526 0.000000 0.860465 0.870844
50 0.05 44.334046 44.334046 0.022556 0.000000 0.871595 0.872363
50 0.05 44.427415 44.427415 0.022509 0.000000 0.910156 0.870473
50 0.05 44.638634 44.638634 0.022402 0.000000 0.922481 0.875959
50 0.05 44.390965 44.390965 0.022527 0.000000 0.868217 0.873188
50 0.05 44.232445 44.232445 0.022608 0.000000 0.842520 0.877768
50 0.05 44.449161 44.449161 0.022498 0.000000 0.875000 0.873882
50 0.05 44.480691 44.480691 0.022482 0.000000 0.902344 0.880060
50 0.05 44.108614 44.108614 0.022671 0.000000 0.880309 0.869751
50 0.05 44.329874 44.329874 0.022558 0.000000 0.903475 0.880409
50 0.05 44.413346 44.413346 0.022516 0.000000 0.879845 0.874254
50 0.05 44.453700 44.453700 0.022495 0.000000 0.883268 0.880247
50 0.05 43.943042 43.943042 0.022757 0.000000 0.882812 0.871325
50 0.05 44.314408 44.314408 0.022566 0.000000 0.872093 0.868926
50 0.05 44.452762 44.452762 0.022496 0.000000 0.914729 0.884271
50 0.05 44.407823 44.407823 0.022519 0.000000 0.842520 0.880750
50 0.05 43.985667 43.985667 0.022735 0.000000 0.929688 0.861312
50 0.05 44.545849 44.545849 0.022449 0.000000 0.906250 0.876651
50 0.05 44.524784 44.524784 0.022459 0.000000 0.895753 0.883394
50 0.05 44.598446 44.598446 0.022422 0.000000 0.876448 0.874867
50 0.05 44.134421 44.134421 0.022658 0.000000 0.914729 0.879156
50 0.05 44.467500 44.467500 0.022488 0.000000 0.875486 0.876838
50 0.05 44.233121 44.233121 0.022607 0.000000 0.878906 0.868769
50 0.05 44.407201 44.407201 0.022519 0.000000 0.883721 0.871270
50 0.05 44.469679 44.469679 0.022487 0.000000 0.852713 0.871270
50 0.05 44.243221 44.243221 0.022602 0.000000 0.874016 0.871167
50 0.05 44.395902 44.395902 0.022525 0.000000 0.906250 0.877290
50 0.05 44.326271 44.326271 0.022560 0.000000 0.886719 0.870899
50 0.05 44.568084 44.568084 0.022438 0.000000 0.864865 0.878704
50 0.05 44.235655 44.235655 0.022606 0.000000 0.899614 0.880196
50 0.05 44.380536 44.380536 0.022532 0.000000 0.910853 0.874254
50 0.05 44.151740 44.151740 0.022649 0.000000 0.863813 0.871724
50 0.05 44.136355 44.136355 0.022657 0.000000 0.886719 0.878781
50 0.05 44.593045 44.593045 0.022425 0.000000 0.844961 0.883205
50 0.05 44.529321 44.529321 0.022457 0.000000 0.875969 0.884910
50 0.05 44.441462 44.441462 0.022502 0.000000 0.877953 0.872445
50 0.05 44.225766 44.225766 0.022611 0.000000 0.902344 0.867490
50 0.05 44.482360 44.482360 0.022481 0.000000 0.886719 0.877290
50 0.05 44.412948 44.412948 0.022516 0.000000 0.880309 0.870816
50 0.05 44.538779 44.538779 0.022452 0.000000 0.888031 0.881262
50 0.05 44.335322 44.335322 0.022555 0.000000 0.872093 0.873402
50 0.05 44.518852 44.518852 0.022462 0.000000 0.898833 0.875133
50 0.05 44.338231 44.338231 0.022554 0.000000 0.890625 0.878994
50 0.05 44.213439 44.213439 0.022618 0.000000 0.864341 0.870844
50 0.05 44.610533 44.610533 0.022416 0.000000 0.914729 0.877238
50 0.05 44.434718 44.434718 0.022505 0.000000 0.850394 0.877768
50 0.05 44.590846 44.590846 0.022426 0.000000 0.917969 0.875373
50 0.05 44.403196 44.403196 0.022521 0.000000 0.898438 0.875373
50 0.05 44.122953 44.122953 0.022664 0.000000 0.864865 0.872309
50 0.05 44.453620 44.453620 0.022495 0.000000 0.907336 0.880196
50 0.05 44.374448 44.374448 0.022535 0.000000 0.895349 0.870205
50 0.05 44.537385 44.537385 0.022453 0.000000 0.891051 0.875133
50 0.05 44.355602 44.355602 0.022545 0.000000 0.859375 0.878142
50 0.05 44.110348 44.110348 0.022670 0.000000 0.875969 0.878943
50 0.05 44.525853 44.525853 0.022459 0.000000 0.879845 0.874680
50 0.05 44.188658 44.188658 0.022630 0.000000 0.874016 0.874574
50 0.05 44.273095 44.273095 0.022587 0.000000 0.890625 0.878355
50 0.05 44.514898 44.514898 0.022464 0.000000 0.878906 0.883468
50 0.05 44.416563 44.416563 0.022514 0.000000 0.903475 0.880622
50 0.21 44.132774 44.132774 0.022659 0.000000 0.879310 0.868664
50 0.21 44.033630 44.033630 0.022710 0.000000 0.880611 0.876505
50 0.21 44.345196 44.345196 0.022550 0.000000 0.869856 0.875032
50 0.21 44.273977 44.273977 0.022587 0.000000 0.897313 0.871290
50 0.21 44.641781 44.641781 0.022401 0.000000 0.877512 0.877849
50 0.21 44.402536 44.402536 0.022521 0.000000 0.888782 0.874584
50 0.21 44.591017 44.591017 0.022426 0.000000 0.881844 0.873113
50 0.21 44.094553 44.094553 0.022679 0.000000 0.891532 0.866889
50 0.21 44.744960 44.744960 0.022349 0.000000 0.893780 0.887580
50 0.21 44.283896 44.283896 0.022582 0.000000 0.884762 0.871026
50 0.21 44.363344 44.363344 0.022541 0.000000 0.872605 0.874040
50 0.21 44.460636 44.460636 0.022492 0.000000 0.872970 0.872918
50 0.21 44.256702 44.256702 0.022595 0.000000 0.861244 0.878361
50 0.21 44.669894 44.669894 0.022386 0.000000 0.868522 0.892528
50 0.21 44.181146 44.181146 0.022634 0.000000 0.876555 0.866837
50 0.21 44.545305 44.545305 0.022449 0.000000 0.888782 0.868697
50 0.21 44.175082 44.175082 0.022637 0.000000 0.896254 0.869020
50 0.21 44.599246 44.599246 0.022422 0.000000 0.882017 0.876892
50 0.21 44.317689 44.317689 0.022564 0.000000 0.881340 0.875544
50 0.21 44.154445 44.154445 0.022648 0.000000 0.879048 0.872821
50 0.21 44.439724 44.439724 0.022502 0.000000 0.876437 0.879416
50 0.21 44.431705 44.431705 0.022506 0.000000 0.887297 0.874968
50 0.21 44.120205 44.120205 0.022665 0.000000 0.866986 0.877593
50 0.21 44.219138 44.219138 0.022615 0.000000 0.876200 0.867195
50 0.21 44.311355 44.311355 0.022568 0.000000 0.873684 0.874008
50 0.21 44.278719 44.278719 0.022584 0.000000 0.899329 0.873304
50 0.21 44.551417 44.551417 0.022446 0.000000 0.894332 0.875160
50 0.21 44.102228 44.102228 0.022675 0.000000 0.884872 0.873044
50 0.21 44.461810 44.461810 0.022491 0.000000 0.874641 0.869142
50 0.21 44.390798 44.390798 0.022527 0.000000 0.874286 0.873590
50 0.21 44.638466 44.638466 0.022402 0.000000 0.886015 0.881720
% N density b b_old lambda LLtest TP FP
50 0.05 44.090296 44.090296 0.022681 0.000000 0.880309 0.872735
50 0.05 44.194501 44.194501 0.022627 0.000000 0.856589 0.875959
