% N density b b_old lambda LLtest TP FP
50 0.03 41.775531 41.775531 193.624559 0.000000 0.085526 0.006253
50 0.03 42.211915 42.211915 189.697746 0.000000 0.166667 0.029717
50 0.03 41.648862 41.648862 192.685318 0.000000 0.190141 0.030574
50 0.03 42.111636 42.111636 192.437396 0.000000 0.111111 0.013525
50 0.03 42.574790 42.574790 185.553288 0.000000 0.108434 0.021739
100 0.03 9.688433 9.688433 613.967499 0.000000 0.032895 0.001042
100 0.03 10.372036 10.372036 570.102683 0.000000 0.115942 0.028470
100 0.03 11.948729 11.948729 497.497163 0.000000 0.176056 0.030158
100 0.03 10.760648 10.760648 567.242982 0.000000 0.034722 0.000832
100 0.03 9.783300 9.783300 583.780928 0.000000 0.090361 0.017977
200 0.03 0.387599 0.387599 2620.752963 0.000000 0.006579 0.000000
200 0.03 0.356581 0.356581 3140.796959 0.000000 0.072464 0.013924
200 0.03 0.372807 0.372807 3133.703400 0.000000 0.000000 0.000000
200 0.03 0.386452 0.386452 2738.812443 0.000000 0.000000 0.000000
200 0.03 0.389695 0.389695 2247.655226 0.000000 0.048193 0.016304
500 0.03 0.157645 0.157645 99.990997 0.000000 0.763158 0.054189
500 0.03 0.148467 0.148467 99.900268 0.000000 0.833333 0.074190
500 0.03 0.145424 0.145424 99.921660 0.000000 0.809859 0.073419
500 0.03 0.146343 0.146343 99.964779 0.000000 0.756944 0.059509
500 0.03 0.153000 0.153000 99.899888 0.000000 0.692771 0.073370
1000 0.03 0.104597 0.104597 99.716223 0.000000 0.940789 0.084202
1000 0.03 0.107127 0.107127 99.670854 0.000000 0.942029 0.102868
1000 0.03 0.107600 0.107600 99.684729 0.000000 0.964789 0.103369
1000 0.03 0.106983 0.106983 99.702476 0.000000 0.972222 0.091136
1000 0.03 0.110576 0.110576 99.684847 0.000000 0.897590 0.105560
5000 0.03 0.071751 0.071751 99.490485 0.000000 1.000000 0.141309
5000 0.03 0.068858 0.068858 99.489353 0.000000 0.992754 0.134871
5000 0.03 0.069051 0.069051 99.493849 0.000000 1.000000 0.157030
5000 0.03 0.068720 0.068720 99.485278 0.000000 1.000000 0.148356
5000 0.03 0.074838 0.074838 99.485934 0.000000 1.000000 0.165343
10000 0.03 0.064664 0.064664 99.459366 0.000000 1.000000 0.141517
10000 0.03 0.062436 0.062436 99.464235 0.000000 0.992754 0.127805
10000 0.03 0.062655 0.062655 99.463207 0.000000 1.000000 0.152870
10000 0.03 0.063226 0.063226 99.453528 0.000000 1.000000 0.143362
10000 0.03 0.067834 0.067834 99.455175 0.000000 0.993976 0.174122
