% N density  lambda LLtest TP FP
50 0.03   0.023982 0.000000 0.960526 0.796373
50 0.03   0.023873 0.000000 0.971014 0.730258
50 0.03   0.023891 0.000000 0.964789 0.730657
50 0.03   0.023744 0.000000 0.993056 0.796504
50 0.03   0.023575 0.000000 0.927711 0.732023
100 0.03   0.097011 0.000000 1.000000 0.844519
100 0.03   0.086234 0.000000 1.000000 0.768703
100 0.03   0.094598 0.000000 1.000000 0.783070
100 0.03   0.103512 0.000000 1.000000 0.836246
100 0.03   0.087740 0.000000 0.981928 0.778428
300 0.03   4.478471 0.000000 0.993421 0.376198
300 0.03   4.446051 0.000000 0.978261 0.341438
300 0.03   4.465230 0.000000 1.000000 0.360025
300 0.03   4.549014 0.000000 1.000000 0.385144
300 0.03   4.429496 0.000000 0.981928 0.388796
500 0.03   6.726351 0.000000 1.000000 0.329721
500 0.03   6.462042 0.000000 0.992754 0.310058
500 0.03   6.684531 0.000000 1.000000 0.317804
500 0.03   6.810904 0.000000 1.000000 0.312734
500 0.03   6.426213 0.000000 0.975904 0.329431
1000 0.03   9.098587 0.000000 1.000000 0.285744
1000 0.03   9.420639 0.000000 0.992754 0.251247
1000 0.03   9.588858 0.000000 1.000000 0.276414
1000 0.03   9.675051 0.000000 1.000000 0.277778
1000 0.03   9.022168 0.000000 0.987952 0.283863
5000 0.03   13.863267 0.000000 1.000000 0.212172
5000 0.03   14.682430 0.000000 0.992754 0.178304
5000 0.03   14.412026 0.000000 1.000000 0.212978
5000 0.03   14.281081 0.000000 1.000000 0.201415
5000 0.03   13.413074 0.000000 0.987952 0.233696
10000 0.03   15.550770 0.000000 1.000000 0.172572
10000 0.03   15.974519 0.000000 0.992754 0.151704
10000 0.03   15.928405 0.000000 1.000000 0.179700
10000 0.03   15.919665 0.000000 1.000000 0.163546
10000 0.03   14.710275 0.000000 0.993976 0.202550
100000 0.03   18.313915 0.000000 1.000000 0.096707
100000 0.03   19.367331 0.000000 0.992754 0.102868
100000 0.03   18.959378 0.000000 1.000000 0.124792
100000 0.03   18.913043 0.000000 1.000000 0.098835
100000 0.03   17.393743 0.000000 0.993976 0.136706
